	AlignmentCoverage	AlignmentIdentity	AlignmentLength	AlignmentLengthStripped	Distance	Family	Ka	Ks	Node	Omega	Outlier	Paralog1	Paralog2	WeightOutliersExcluded	WeightOutliersIncluded
AT2G43010__AT3G59060	0.57794	0.6497	2040.0	1179.0	0.65882	GF_000128	0.2148	0.9957	23.0	0.2157	False	AT3G59060	AT2G43010	1.0	1.0
AT4G36930__AT5G67110	0.30882	0.46348999999999996	2040.0	630.0	1.98747	GF_000128	0.4922	2.3323	26.0	0.2111	False	AT5G67110	AT4G36930	1.0	1.0
AT4G36930__AT5G67110	0.30882	0.46348999999999996	2040.0	630.0	1.98747	GF_000128	0.4922	2.3323	26.0	0.2111	False	AT5G67110	AT4G36930	1.0	1.0
AT1G09530__AT3G62090	0.5132399999999999	0.38299999999999995	2040.0	1047.0	3.06278	GF_000128	0.6358	6.3609	29.0	0.0999	True	AT3G62090	AT1G09530	0.0	0.04
AT3G46230__AT5G59720	0.40519	0.7735	1155.0	468.0	0.20778000000000002	GF_000155	0.0712	14.4959	19.0	0.0049	True	AT5G59720	AT3G46230	0.0	0.5
AT4G25920__AT5G52930	0.73093	0.45024	1416.0	1035.0	2.3599	GF_000112	0.8564	35.5293	32.0	0.0241	True	AT5G52930	AT4G25920	0.0	0.016669999999999997
AT1G78180__AT5G64970	0.69205	0.58453	1812.0	1254.0	0.70503	GF_000111	0.1376	8.7504	26.0	0.0157	True	AT5G64970	AT1G78180	0.0	1.0
AT2G37890__AT3G53940	0.5546399999999999	0.76318	1812.0	1005.0	0.38078	GF_000111	0.1311	0.5985	27.0	0.2191	False	AT2G37890	AT3G53940	1.0	1.0
AT2G46320__AT4G01100	0.5198699999999999	0.38747	1812.0	942.0	3.0941400000000003	GF_000111	0.9881	58.0349	32.0	0.017	True	AT2G46320	AT4G01100	0.0	0.013890000000000001
AT2G46320__AT4G01100	0.5198699999999999	0.38747	1812.0	942.0	3.0941400000000003	GF_000111	0.9881	58.0349	32.0	0.017	True	AT2G46320	AT4G01100	0.0	0.013890000000000001
AT3G15720__AT4G32370	0.49461000000000005	0.5109	1947.0	963.0	1.67087	GF_000124	0.3876	8.5746	19.0	0.0452	True	AT4G32370	AT3G15720	0.0	0.25
AT1G02460__AT4G01890	0.7195699999999999	0.70093	1947.0	1401.0	0.48005	GF_000124	0.1464	0.7431	20.0	0.19699999999999998	False	AT1G02460	AT4G01890	1.0	1.0
AT1G80140__AT4G32370	0.41448	0.47584	1947.0	807.0	2.1076	GF_000124	0.5554	70.6724	30.0	0.0079	True	AT4G32370	AT1G80140	0.0	0.01818
AT1G80140__AT4G32370	0.41448	0.47584	1947.0	807.0	2.1076	GF_000124	0.5554	70.6724	30.0	0.0079	True	AT4G32370	AT1G80140	0.0	0.01818
AT1G80140__AT3G15720	0.50385	0.5270100000000001	1947.0	981.0	1.69767	GF_000124	0.5403	2.1437	30.0	0.252	True	AT3G15720	AT1G80140	0.0	0.01818
AT1G80140__AT3G15720	0.50385	0.5270100000000001	1947.0	981.0	1.69767	GF_000124	0.5403	2.1437	30.0	0.252	True	AT3G15720	AT1G80140	0.0	0.01818
AT2G39540__AT5G59845	0.30961	0.80843	843.0	261.0	0.22795	GF_000137	0.1263	0.6157	22.0	0.2052	True	AT2G39540	AT5G59845	0.0	0.25
AT1G55640__AT5G56230	0.77966	0.45652	708.0	552.0	1.27621	GF_000132	0.6945	13.5991	16.0	0.0511	True	AT1G55640	AT5G56230	0.0	1.0
AT2G40380__AT3G56110	0.88559	0.76715	708.0	627.0	0.21315	GF_000132	0.0884	2.0618	17.0	0.0429	False	AT3G56110	AT2G40380	1.0	1.0
AT2G40380__AT3G56110	0.88559	0.76715	708.0	627.0	0.21315	GF_000132	0.0884	2.0618	17.0	0.0429	False	AT3G56110	AT2G40380	1.0	1.0
AT3G56110__AT5G05380	0.88559	0.7177	708.0	627.0	0.30515	GF_000132	0.1247	3.9566	18.0	0.0315	False	AT5G05380	AT3G56110	0.5	0.5
AT2G40380__AT5G05380	0.90254	0.69171	708.0	639.0	0.36906	GF_000132	0.1353	4.7572	18.0	0.0284	False	AT5G05380	AT2G40380	0.5	0.5
AT2G40380__AT5G05380	0.90254	0.69171	708.0	639.0	0.36906	GF_000132	0.1353	4.7572	18.0	0.0284	False	AT5G05380	AT2G40380	0.5	0.5
AT2G38360__AT5G05380	0.90254	0.6197199999999999	708.0	639.0	0.6584899999999999	GF_000132	0.2536	6.0437	21.0	0.042	True	AT5G05380	AT2G38360	0.0	0.11110999999999999
AT5G01640__AT5G05380	0.91102	0.6031	708.0	645.0	0.74968	GF_000132	0.2586	3.6116	21.0	0.0716	True	AT5G05380	AT5G01640	0.0	0.11110999999999999
AT3G56110__AT5G01640	0.88559	0.61244	708.0	627.0	0.73827	GF_000132	0.2683	4.189	21.0	0.064	True	AT3G56110	AT5G01640	0.0	0.11110999999999999
AT2G40380__AT5G01640	0.90254	0.61815	708.0	639.0	0.80218	GF_000132	0.2553	4.1021	21.0	0.0622	True	AT2G40380	AT5G01640	0.0	0.11110999999999999
AT2G40380__AT5G01640	0.90254	0.61815	708.0	639.0	0.80218	GF_000132	0.2553	4.1021	21.0	0.0622	True	AT2G40380	AT5G01640	0.0	0.11110999999999999
AT1G55190__AT3G13710	0.79661	0.69858	708.0	564.0	0.4335	GF_000132	0.2315	20.9887	24.0	0.011000000000000001	True	AT1G55190	AT3G13710	0.0	0.5
AT2G44460__AT3G60120	0.69112	0.55618	2331.0	1611.0	1.3864100000000001	GF_000113	0.40299999999999997	8.5716	31.0	0.047	True	AT2G44460	AT3G60120	0.0	0.016669999999999997
AT1G22280__AT1G78200	0.29915	0.76071	2808.0	840.0	0.41373999999999994	GF_000116	0.1937	0.8672	20.0	0.2234	False	AT1G78200	AT1G22280	0.5	0.5
AT2G20630__AT4G28400	0.29808	0.8231799999999999	2808.0	837.0	0.18195	GF_000116	0.1008	0.9075	21.0	0.1111	False	AT4G28400	AT2G20630	1.0	1.0
AT5G10740__AT5G24940	0.37606999999999996	0.79924	2808.0	1056.0	0.19397	GF_000116	0.0351	0.9021	26.0	0.0389	False	AT5G10740	AT5G24940	1.0	1.0
AT2G23550__AT4G37140	0.36885	0.65679	1098.0	405.0	0.8375	GF_000121	0.3565	1.4261	28.0	0.25	True	AT4G37140	AT2G23550	0.0	0.125
AT2G40790__AT3G56420	0.3195	0.76623	1446.0	462.0	0.32728	GF_000115	0.1111	0.7396	22.0	0.1502	False	AT3G56420	AT2G40790	1.0	1.0
AT3G09220__AT5G01040	0.88413	0.63315	1890.0	1671.0	0.71953	GF_000114	0.2977	2.0189	18.0	0.1474	False	AT3G09220	AT5G01040	0.5	0.5
AT2G40370__AT5G05390	0.8968299999999999	0.72035	1890.0	1695.0	0.29702	GF_000114	0.1135	2.5287	19.0	0.0449	False	AT5G05390	AT2G40370	1.0	1.0
AT2G40370__AT5G05390	0.8968299999999999	0.72035	1890.0	1695.0	0.29702	GF_000114	0.1135	2.5287	19.0	0.0449	False	AT5G05390	AT2G40370	1.0	1.0
AT2G38080__AT5G01190	0.88254	0.69784	1890.0	1668.0	0.36064	GF_000114	0.1427	63.7542	26.0	0.0022	True	AT2G38080	AT5G01190	0.0	1.0
AT2G38080__AT5G01190	0.88254	0.69784	1890.0	1668.0	0.36064	GF_000114	0.1427	63.7542	26.0	0.0022	True	AT2G38080	AT5G01190	0.0	1.0
AT2G38080__AT5G58910	0.8174600000000001	0.6724899999999999	1890.0	1545.0	0.43109	GF_000114	0.1774	14.3359	27.0	0.0124	True	AT5G58910	AT2G38080	0.0	0.5
AT1G48750__AT3G18280	0.6963	0.72695	405.0	282.0	0.39886	GF_000119	0.248	0.8965	17.0	0.2766	False	AT3G18280	AT1G48750	1.0	1.0
AT3G44290__AT5G22290	0.42382	0.70896	2343.0	993.0	0.47001000000000004	GF_000123	0.0915	0.4931	19.0	0.1855	False	AT5G22290	AT3G44290	1.0	1.0
AT4G17980__AT5G46590	0.33163000000000004	0.71686	2343.0	777.0	0.42358	GF_000123	0.1099	1.0755	21.0	0.1022	False	AT5G46590	AT4G17980	1.0	1.0
AT3G03200__AT5G17260	0.57875	0.75885	2343.0	1356.0	0.31468	GF_000123	0.0086	0.7262	24.0	0.0118	False	AT3G03200	AT5G17260	1.0	1.0
AT1G01340__AT4G01010	0.86318	0.79395	2412.0	2082.0	0.24844000000000002	GF_000127	0.0667	0.8832	16.0	0.0756	False	AT1G01340	AT4G01010	1.0	1.0
AT1G01340__AT4G01010	0.86318	0.79395	2412.0	2082.0	0.24844000000000002	GF_000127	0.0667	0.8832	16.0	0.0756	False	AT1G01340	AT4G01010	1.0	1.0
AT1G01340__AT2G46430	0.8619399999999999	0.6676300000000001	2412.0	2079.0	0.57948	GF_000127	0.1937	2.1379	19.0	0.0906	False	AT1G01340	AT2G46430	0.16667	0.16667
AT1G01340__AT2G46430	0.8619399999999999	0.6676300000000001	2412.0	2079.0	0.57948	GF_000127	0.1937	2.1379	19.0	0.0906	False	AT1G01340	AT2G46430	0.16667	0.16667
AT2G46430__AT4G01010	0.85075	0.66472	2412.0	2052.0	0.56588	GF_000127	0.1834	2.4885	19.0	0.0737	False	AT4G01010	AT2G46430	0.16667	0.16667
AT2G46430__AT4G01010	0.85075	0.66472	2412.0	2052.0	0.56588	GF_000127	0.1834	2.4885	19.0	0.0737	False	AT4G01010	AT2G46430	0.16667	0.16667
AT1G01340__AT5G53130	0.8619399999999999	0.61953	2412.0	2079.0	0.7158100000000001	GF_000127	0.2147	4.8025	20.0	0.0447	True	AT5G53130	AT1G01340	0.0	0.2
AT1G01340__AT5G53130	0.8619399999999999	0.61953	2412.0	2079.0	0.7158100000000001	GF_000127	0.2147	4.8025	20.0	0.0447	True	AT5G53130	AT1G01340	0.0	0.2
AT4G01010__AT5G53130	0.8519899999999999	0.6379600000000001	2412.0	2055.0	0.70221	GF_000127	0.207	7.3763	20.0	0.0281	True	AT5G53130	AT4G01010	0.0	0.2
AT4G01010__AT5G53130	0.8519899999999999	0.6379600000000001	2412.0	2055.0	0.70221	GF_000127	0.207	7.3763	20.0	0.0281	True	AT5G53130	AT4G01010	0.0	0.2
AT2G46430__AT5G53130	0.8694	0.61946	2412.0	2097.0	0.77835	GF_000127	0.2335	6.0629	20.0	0.0385	True	AT5G53130	AT2G46430	0.0	0.2
AT2G46430__AT5G53130	0.8694	0.61946	2412.0	2097.0	0.77835	GF_000127	0.2335	6.0629	20.0	0.0385	True	AT5G53130	AT2G46430	0.0	0.2
AT2G23980__AT4G30560	0.9067200000000001	0.8257899999999999	2412.0	2187.0	0.14223	GF_000127	0.048	0.8356	22.0	0.0574	False	AT2G23980	AT4G30560	1.0	1.0
AT4G11220__AT4G23630	0.7994100000000001	0.82657	1017.0	813.0	0.16455	GF_000135	0.0528	0.6581	21.0	0.0802	False	AT4G23630	AT4G11220	1.0	1.0
AT1G64090__AT5G41600	0.74336	0.81217	1017.0	756.0	0.27566999999999997	GF_000135	0.1404	0.5391	22.0	0.2604	False	AT1G64090	AT5G41600	1.0	1.0
AT1G64090__AT4G23630	0.73746	0.72133	1017.0	750.0	0.40968000000000004	GF_000135	0.1835	2.1959999999999997	23.0	0.0836	True	AT4G23630	AT1G64090	0.0	0.25
AT4G23630__AT5G41600	0.74631	0.73254	1017.0	759.0	0.38787	GF_000135	0.1792	1.5872	23.0	0.1129	True	AT4G23630	AT5G41600	0.0	0.25
AT1G64090__AT4G11220	0.73746	0.70667	1017.0	750.0	0.43291	GF_000135	0.2001	2.8294	23.0	0.0707	True	AT4G11220	AT1G64090	0.0	0.25
AT2G46170__AT3G61560	0.74336	0.69312	1017.0	756.0	0.59907	GF_000135	0.7424	2.0605	24.0	0.3603	False	AT3G61560	AT2G46170	1.0	1.0
AT3G61560__AT4G01230	0.70206	0.52941	1017.0	714.0	1.25853	GF_000135	1.1740000000000002	8.1486	25.0	0.1441	True	AT4G01230	AT3G61560	0.0	0.5
AT2G46170__AT4G01230	0.70501	0.62064	1017.0	717.0	0.70938	GF_000135	0.3541	5.8809	25.0	0.0602	True	AT4G01230	AT2G46170	0.0	0.5
AT3G61560__AT4G23630	0.74336	0.5502600000000001	1017.0	756.0	1.1808	GF_000135	0.9684	3.2919	26.0	0.2942	True	AT4G23630	AT3G61560	0.0	0.08333
AT2G46170__AT4G23630	0.74926	0.65617	1017.0	762.0	0.63165	GF_000135	0.2672	2.2417	26.0	0.1192	True	AT4G23630	AT2G46170	0.0	0.08333
AT4G01230__AT4G11220	0.71091	0.57123	1017.0	723.0	1.0498399999999999	GF_000135	0.4438	7.6909	26.0	0.0577	True	AT4G11220	AT4G01230	0.0	0.08333
AT3G61560__AT4G11220	0.74336	0.54365	1017.0	756.0	1.20403	GF_000135	0.9784	2.9211	26.0	0.3349	True	AT4G11220	AT3G61560	0.0	0.08333
AT2G46170__AT4G11220	0.74926	0.63517	1017.0	762.0	0.65488	GF_000135	0.3049	2.4090000000000003	26.0	0.1266	True	AT4G11220	AT2G46170	0.0	0.08333
AT1G64090__AT3G61560	0.7256600000000001	0.55285	1017.0	738.0	1.16866	GF_000135	0.8723	6.0703	26.0	0.1437	True	AT1G64090	AT3G61560	0.0	0.08333
AT1G64090__AT2G46170	0.73451	0.62784	1017.0	747.0	0.61951	GF_000135	0.2749	3.6218	26.0	0.0759	True	AT1G64090	AT2G46170	0.0	0.08333
AT1G64090__AT2G46170	0.73451	0.62784	1017.0	747.0	0.61951	GF_000135	0.2749	3.6218	26.0	0.0759	True	AT1G64090	AT2G46170	0.0	0.08333
AT1G18835__AT1G74660	0.19856	0.7590399999999999	1254.0	249.0	0.28191	GF_000122	0.025	1.9217	17.0	0.013000000000000001	False	AT1G74660	AT1G18835	1.0	1.0
AT4G24660__AT5G65410	0.5	0.61085	1254.0	627.0	0.9446200000000001	GF_000122	0.0919	3.9191	23.0	0.0234	False	AT4G24660	AT5G65410	1.0	1.0
AT4G24660__AT5G65410	0.5	0.61085	1254.0	627.0	0.9446200000000001	GF_000122	0.0919	3.9191	23.0	0.0234	False	AT4G24660	AT5G65410	1.0	1.0
AT1G14440__AT2G02540	0.71053	0.63412	1254.0	891.0	0.8707600000000001	GF_000122	0.0939	0.5429	24.0	0.1729	False	AT2G02540	AT1G14440	1.0	1.0
AT1G69600__AT1G74660	0.20813	0.50575	1254.0	261.0	2.364	GF_000122	0.2863	73.0356	32.0	0.0039	True	AT1G74660	AT1G69600	0.0	0.016669999999999997
AT3G46840__AT5G59090	0.8821399999999999	0.691	2469.0	2178.0	0.6067899999999999	GF_000148	0.264	1.1233	24.0	0.235	False	AT3G46840	AT5G59090	0.0625	0.0625
AT3G03050__AT5G16910	0.82957	0.81124	4119.0	3417.0	0.14715	GF_000126	0.0421	0.888	16.0	0.0474	False	AT3G03050	AT5G16910	1.0	1.0
AT5G09870__AT5G64740	0.77713	0.84536	4119.0	3201.0	0.1208	GF_000126	0.0327	0.7316	22.0	0.0446	False	AT5G09870	AT5G64740	1.0	1.0
AT2G21770__AT4G39350	0.78296	0.84155	4119.0	3225.0	0.14464000000000002	GF_000126	0.0374	0.8217	23.0	0.0455	False	AT2G21770	AT4G39350	1.0	1.0
AT2G25540__AT4G32410	0.77495	0.8245600000000001	4119.0	3192.0	0.19457	GF_000126	0.0564	0.7033	26.0	0.0802	False	AT2G25540	AT4G32410	1.0	1.0
AT1G07440__AT2G29260	0.7085600000000001	0.60755	1122.0	795.0	0.80998	GF_000133	0.2605	5.4869	30.0	0.0475	True	AT2G29260	AT1G07440	0.0	0.035710000000000006
AT1G48590__AT3G17980	0.27371999999999996	0.75758	1929.0	528.0	0.20828000000000002	GF_000136	0.0991	1.7689	22.0	0.055999999999999994	False	AT1G48590	AT3G17980	1.0	1.0
AT1G48590__AT1G73580	0.25972	0.65469	1929.0	501.0	0.46253	GF_000136	0.2601	3.4517	23.0	0.0753	True	AT1G73580	AT1G48590	0.0	0.5
AT1G73580__AT3G17980	0.26128	0.65079	1929.0	504.0	0.40509	GF_000136	0.2148	60.3615	23.0	0.0036	True	AT1G73580	AT3G17980	0.0	0.5
AT1G73580__AT3G17980	0.26128	0.65079	1929.0	504.0	0.40509	GF_000136	0.2148	60.3615	23.0	0.0036	True	AT1G73580	AT3G17980	0.0	0.5
AT1G23140__AT1G70790	0.25661	0.6404	1929.0	495.0	0.66466	GF_000136	0.331	3.4465	27.0	0.096	True	AT1G70790	AT1G23140	0.0	0.0625
AT1G70790__AT5G37740	0.25972	0.6167699999999999	1929.0	501.0	0.67824	GF_000136	0.31	69.6653	27.0	0.0045	True	AT1G70790	AT5G37740	0.0	0.0625
AT1G17610__AT1G72850	0.39418000000000003	0.55216	2991.0	1179.0	1.36191	GF_000131	0.7122	1.8856	26.0	0.3777	False	AT1G17610	AT1G72850	0.25	0.25
AT1G22290__AT1G78220	0.62908	0.59591	1011.0	636.0	1.2917399999999999	GF_000154	0.8709	1.6772	16.0	0.5193	False	AT1G78220	AT1G22290	0.5	0.5
AT3G02520__AT5G16050	0.78338	0.8447	1011.0	792.0	0.12179000000000001	GF_000154	0.0096	1.0518	20.0	0.0092	False	AT3G02520	AT5G16050	1.0	1.0
AT5G10450__AT5G65430	0.77151	0.82821	1011.0	780.0	0.14595999999999998	GF_000154	0.0306	1.1735	23.0	0.0261	False	AT5G65430	AT5G10450	1.0	1.0
AT4G25140__AT5G51210	0.25269	0.66194	1674.0	423.0	0.5017699999999999	GF_000153	0.14300000000000002	2.1974	15.0	0.0651	False	AT5G51210	AT4G25140	1.0	1.0
AT3G27660__AT5G40420	0.32975	0.6340600000000001	1674.0	552.0	0.56488	GF_000153	0.147	1.4853	16.0	0.0989	False	AT5G40420	AT3G27660	1.0	1.0
AT5G07510__AT5G61610	0.33871	0.4127	1674.0	567.0	3.6093	GF_000153	0.9149	1.5295	28.0	0.5982	True	AT5G61610	AT5G07510	0.0	0.01786
AT4G27560__AT5G54060	0.9030299999999999	0.6077600000000001	1485.0	1341.0	0.83478	GF_000163	0.3534	3.0488	25.0	0.1159	False	AT5G54060	AT4G27560	0.1	0.1
AT3G11180__AT5G05600	0.79437	0.7520399999999999	1386.0	1101.0	0.35984	GF_000140	0.1194	0.7829999999999999	18.0	0.1525	False	AT3G11180	AT5G05600	1.0	1.0
AT3G11180__AT3G55970	0.77056	0.66479	1386.0	1068.0	0.60517	GF_000140	0.2092	1.7046	19.0	0.1227	False	AT3G55970	AT3G11180	0.5	0.5
AT3G55970__AT5G05600	0.77056	0.6704100000000001	1386.0	1068.0	0.58599	GF_000140	0.2247	1.6859	19.0	0.1333	False	AT3G55970	AT5G05600	0.5	0.5
AT2G38240__AT3G11180	0.7619	0.58807	1386.0	1056.0	0.83481	GF_000140	0.3122	1.903	20.0	0.1641	False	AT2G38240	AT3G11180	0.33333	0.33333
AT2G38240__AT3G11180	0.7619	0.58807	1386.0	1056.0	0.83481	GF_000140	0.3122	1.903	20.0	0.1641	False	AT2G38240	AT3G11180	0.33333	0.33333
AT2G38240__AT5G05600	0.75974	0.59639	1386.0	1053.0	0.81563	GF_000140	0.3227	2.08	20.0	0.1552	False	AT2G38240	AT5G05600	0.33333	0.33333
AT5G08640__AT5G63580	0.54113	0.67467	1386.0	750.0	0.70705	GF_000140	0.2723	1.544	25.0	0.1764	False	AT5G08640	AT5G63580	0.2	0.2
AT2G38240__AT5G58660	0.6883100000000001	0.42872	1386.0	954.0	2.42653	GF_000140	0.6629	65.6795	28.0	0.0101	True	AT5G58660	AT2G38240	0.0	0.02273
AT3G55970__AT5G58660	0.68398	0.41772	1386.0	948.0	2.53937	GF_000140	0.7504	4.5924	28.0	0.1634	True	AT5G58660	AT3G55970	0.0	0.02273
AT2G17160__AT4G35230	0.1756	0.59649	1623.0	285.0	1.2740799999999999	GF_000138	1.0165	1.0078	18.0	1.0086	True	AT2G17160	AT4G35230	0.0	0.16667
AT3G09240__AT5G01060	0.87061	0.80255	1623.0	1413.0	0.28765	GF_000138	0.0298	0.2063	20.0	0.1447	False	AT5G01060	AT3G09240	1.0	1.0
AT3G54030__AT5G01060	0.89464	0.65083	1623.0	1452.0	0.72431	GF_000138	0.2157	2.4838	21.0	0.0868	False	AT3G54030	AT5G01060	0.5	0.5
AT3G54030__AT5G01060	0.89464	0.65083	1623.0	1452.0	0.72431	GF_000138	0.2157	2.4838	21.0	0.0868	False	AT3G54030	AT5G01060	0.5	0.5
AT5G01060__AT5G59010	0.89094	0.63071	1623.0	1446.0	0.75356	GF_000138	0.1592	2.2626	22.0	0.0704	False	AT5G59010	AT5G01060	0.33333	0.33333
AT1G63500__AT5G41260	0.90018	0.8679	1623.0	1461.0	0.12034	GF_000138	0.0567	0.7686	23.0	0.0737	False	AT1G63500	AT5G41260	1.0	1.0
AT1G01740__AT4G00710	0.8890899999999999	0.80942	1623.0	1443.0	0.26506	GF_000138	0.0245	0.5805	24.0	0.0421	False	AT1G01740	AT4G00710	1.0	1.0
AT1G01740__AT1G63500	0.88355	0.67992	1623.0	1434.0	0.53112	GF_000138	0.1055	1.8863	25.0	0.055999999999999994	True	AT1G63500	AT1G01740	0.0	0.25
AT1G01740__AT1G63500	0.88355	0.67992	1623.0	1434.0	0.53112	GF_000138	0.1055	1.8863	25.0	0.055999999999999994	True	AT1G63500	AT1G01740	0.0	0.25
AT1G21530__AT1G77240	0.8175	0.76384	1989.0	1626.0	0.26513000000000003	GF_000145	0.1198	1.1679	21.0	0.1026	False	AT1G77240	AT1G21530	0.5	0.5
AT1G20560__AT1G76290	0.8190000000000001	0.59853	1989.0	1629.0	0.8835799999999999	GF_000145	0.3641	4.2525	24.0	0.0856	True	AT1G76290	AT1G20560	0.0	0.5
AT4G36920__AT5G67180	0.43871000000000004	0.56765	2325.0	1020.0	1.11471	GF_000130	0.2332	3.3062	16.0	0.0705	False	AT4G36920	AT5G67180	1.0	1.0
AT4G36920__AT5G67180	0.43871000000000004	0.56765	2325.0	1020.0	1.11471	GF_000130	0.2332	3.3062	16.0	0.0705	False	AT4G36920	AT5G67180	1.0	1.0
AT2G39250__AT3G54990	0.41418999999999995	0.6947	2325.0	963.0	0.6161	GF_000130	0.2332	0.8969	17.0	0.26	False	AT2G39250	AT3G54990	1.0	1.0
AT1G16060__AT1G79700	0.39484	0.6939	2325.0	918.0	0.73558	GF_000130	0.21600000000000003	0.7723	21.0	0.2797	False	AT1G79700	AT1G16060	1.0	1.0
AT1G51190__AT3G20840	0.69548	0.69821	2325.0	1617.0	0.41116	GF_000130	0.1016	1.1635	24.0	0.0873	False	AT1G51190	AT3G20840	1.0	1.0
AT2G36350__AT3G52890	0.8590200000000001	0.7717	3192.0	2742.0	0.3232	GF_000147	0.0571	0.7049	17.0	0.081	False	AT3G52890	AT2G36350	1.0	1.0
AT3G52890__AT5G03640	0.82331	0.5312	3192.0	2628.0	1.17953	GF_000147	0.1182	2.3369999999999997	18.0	0.0506	False	AT5G03640	AT3G52890	0.5	0.5
AT3G52890__AT5G03640	0.82331	0.5312	3192.0	2628.0	1.17953	GF_000147	0.1182	2.3369999999999997	18.0	0.0506	False	AT5G03640	AT3G52890	0.5	0.5
AT2G36350__AT5G03640	0.8327100000000001	0.5331100000000001	3192.0	2658.0	1.24043	GF_000147	0.1259	2.3695	18.0	0.0531	False	AT5G03640	AT2G36350	0.5	0.5
AT2G36350__AT5G03640	0.8327100000000001	0.5331100000000001	3192.0	2658.0	1.24043	GF_000147	0.1259	2.3695	18.0	0.0531	False	AT5G03640	AT2G36350	0.5	0.5
AT1G16440__AT1G79250	0.46335	0.73631	3192.0	1479.0	0.40271	GF_000147	0.0844	1.1536	19.0	0.0732	False	AT1G79250	AT1G16440	1.0	1.0
AT4G26610__AT5G55910	0.46053	0.78299	3192.0	1470.0	0.24761999999999998	GF_000147	0.0626	1.0216	22.0	0.0613	False	AT4G26610	AT5G55910	1.0	1.0
AT1G23510__AT1G70480	0.33714	0.42561000000000004	1575.0	531.0	1.79892	GF_000139	0.914	3.0834	18.0	0.2964	True	AT1G70480	AT1G23510	0.0	0.16667
AT2G47250__AT3G62310	0.39274000000000003	0.86345	5538.0	2175.0	0.07867	GF_000217	0.0154	0.43799999999999994	13.0	0.0351	False	AT3G62310	AT2G47250	1.0	1.0
AT1G32490__AT2G35340	0.5644600000000001	0.84165	5538.0	3126.0	0.17202	GF_000217	0.0312	0.5577	16.0	0.0559	False	AT1G32490	AT2G35340	1.0	1.0
AT3G09440__AT5G02490	0.84615	0.83924	2301.0	1947.0	0.10824	GF_000143	0.0441	1.1494	24.0	0.0384	False	AT3G09440	AT5G02490	0.33333	0.33333
AT3G09440__AT5G02490	0.84615	0.83924	2301.0	1947.0	0.10824	GF_000143	0.0441	1.1494	24.0	0.0384	False	AT3G09440	AT5G02490	0.33333	0.33333
AT3G12580__AT5G02490	0.84746	0.78974	2301.0	1950.0	0.1381	GF_000143	0.0688	17.4995	25.0	0.0039	True	AT3G12580	AT5G02490	0.0	0.25
