	Vvi.cds
GF00373	GSVIVT01017327001, GSVIVT01026886001, GSVIVT01026883001, GSVIVT01026885001, GSVIVT01026884001, GSVIVT01017329001, GSVIVT01026887001, GSVIVT01025225001, GSVIVT01025221001, GSVIVT01025223001
GF00374	GSVIVT01023560001, GSVIVT01023562001, GSVIVT01024279001, GSVIVT01024289001, GSVIVT01024270001, GSVIVT01024278001, GSVIVT01024267001, GSVIVT01024274001, GSVIVT01024280001, GSVIVT01024276001
GF00375	GSVIVT01028463001, GSVIVT01028135001, GSVIVT01036465001, GSVIVT01013741001, GSVIVT01015383001, GSVIVT01012008001, GSVIVT01017060001, GSVIVT01001442001, GSVIVT01018982001
GF00376	GSVIVT01000025001, GSVIVT01035986001, GSVIVT01028065001, GSVIVT01009883001, GSVIVT01018738001, GSVIVT01038689001, GSVIVT01016378001, GSVIVT01000255001, GSVIVT01024053001
GF00377	GSVIVT01032029001, GSVIVT01025339001, GSVIVT01016738001, GSVIVT01010359001, GSVIVT01025340001, GSVIVT01025341001, GSVIVT01025342001, GSVIVT01032028001, GSVIVT01005215001
GF00378	GSVIVT01024933001, GSVIVT01016520001, GSVIVT01024935001, GSVIVT01024931001, GSVIVT01016522001, GSVIVT01016523001, GSVIVT01024932001, GSVIVT01016521001, GSVIVT01034155001
GF00379	GSVIVT01000108001, GSVIVT01007234001, GSVIVT01000117001, GSVIVT01027530001, GSVIVT01033892001, GSVIVT01031368001, GSVIVT01035415001, GSVIVT01020281001, GSVIVT01035000001
GF00380	GSVIVT01000159001, GSVIVT01037875001, GSVIVT01009374001, GSVIVT01033496001, GSVIVT01025572001, GSVIVT01034979001, GSVIVT01032637001, GSVIVT01023994001, GSVIVT01006890001
GF00381	GSVIVT01000173001, GSVIVT01009387001, GSVIVT01008827001, GSVIVT01034237001, GSVIVT01008829001, GSVIVT01003954001, GSVIVT01021050001, GSVIVT01008828001, GSVIVT01025700001
GF00382	GSVIVT01000176001, GSVIVT01037892001, GSVIVT01014545001, GSVIVT01027971001, GSVIVT01000422001, GSVIVT01001112001, GSVIVT01030558001, GSVIVT01027057001, GSVIVT01011052001
GF00383	GSVIVT01000217001, GSVIVT01010896001, GSVIVT01035474001, GSVIVT01025299001, GSVIVT01019769001, GSVIVT01012131001, GSVIVT01038740001, GSVIVT01038742001, GSVIVT01019770001
GF00384	GSVIVT01000351001, GSVIVT01002667001, GSVIVT01006129001, GSVIVT01000358001, GSVIVT01015297001, GSVIVT01016971001, GSVIVT01009899001, GSVIVT01031551001, GSVIVT01034893001
GF00385	GSVIVT01011363001, GSVIVT01011366001, GSVIVT01011361001, GSVIVT01011364001, GSVIVT01020046001, GSVIVT01020048001, GSVIVT01011368001, GSVIVT01011369001, GSVIVT01016581001
GF00386	GSVIVT01000569001, GSVIVT01030264001, GSVIVT01022428001, GSVIVT01026077001, GSVIVT01026078001, GSVIVT01021727001, GSVIVT01028342001, GSVIVT01020878001, GSVIVT01036782001
GF00387	GSVIVT01000573001, GSVIVT01014359001, GSVIVT01019434001, GSVIVT01019433001, GSVIVT01019436001, GSVIVT01014355001, GSVIVT01014358001, GSVIVT01014354001, GSVIVT01014357001
GF00388	GSVIVT01032776001, GSVIVT01030315001, GSVIVT01020718001, GSVIVT01024687001, GSVIVT01021225001, GSVIVT01013085001, GSVIVT01024383001, GSVIVT01026319001, GSVIVT01009589001
GF00389	GSVIVT01000730001, GSVIVT01011075001, GSVIVT01021945001, GSVIVT01021951001, GSVIVT01000731001, GSVIVT01000732001, GSVIVT01000736001, GSVIVT01018600001, GSVIVT01034583001
GF00390	GSVIVT01000745001, GSVIVT01018104001, GSVIVT01022826001, GSVIVT01037798001, GSVIVT01022381001, GSVIVT01015987001, GSVIVT01012222001, GSVIVT01000746001, GSVIVT01015984001
GF00391	GSVIVT01000818001, GSVIVT01006780001, GSVIVT01017117001, GSVIVT01004841001, GSVIVT01026490001, GSVIVT01030186001, GSVIVT01022698001, GSVIVT01030888001, GSVIVT01024539001
GF00392	GSVIVT01035505001, GSVIVT01013359001, GSVIVT01023944001, GSVIVT01023941001, GSVIVT01023946001, GSVIVT01023942001, GSVIVT01023939001, GSVIVT01023948001, GSVIVT01015028001
GF00393	GSVIVT01000831001, GSVIVT01009282001, GSVIVT01012666001, GSVIVT01011097001, GSVIVT01030477001, GSVIVT01011543001, GSVIVT01011464001, GSVIVT01012531001, GSVIVT01021562001
GF00394	GSVIVT01000846001, GSVIVT01033451001, GSVIVT01033447001, GSVIVT01025397001, GSVIVT01025391001, GSVIVT01025394001, GSVIVT01025393001, GSVIVT01033453001, GSVIVT01033445001
GF00395	GSVIVT01029646001, GSVIVT01016003001, GSVIVT01016012001, GSVIVT01018634001, GSVIVT01016000001, GSVIVT01029650001, GSVIVT01016009001, GSVIVT01029640001, GSVIVT01016034001
GF00396	GSVIVT01000913001, GSVIVT01030079001, GSVIVT01030086001, GSVIVT01031295001, GSVIVT01001847001, GSVIVT01003485001, GSVIVT01035045001, GSVIVT01023200001, GSVIVT01028082001
GF00397	GSVIVT01000917001, GSVIVT01019935001, GSVIVT01033053001, GSVIVT01009980001, GSVIVT01008583001, GSVIVT01012259001, GSVIVT01007052001, GSVIVT01035879001, GSVIVT01002341001
GF00398	GSVIVT01001046001, GSVIVT01001119001, GSVIVT01024207001, GSVIVT01021426001, GSVIVT01028118001, GSVIVT01003253001, GSVIVT01025535001, GSVIVT01024663001, GSVIVT01037386001
GF00399	GSVIVT01001076001, GSVIVT01003720001, GSVIVT01003990001, GSVIVT01013058001, GSVIVT01007588001, GSVIVT01036519001, GSVIVT01010118001, GSVIVT01030994001, GSVIVT01014851001
GF00400	GSVIVT01004806001, GSVIVT01016654001, GSVIVT01033522001, GSVIVT01002543001, GSVIVT01030565001, GSVIVT01029462001, GSVIVT01006942001, GSVIVT01004803001, GSVIVT01006501001
GF00401	GSVIVT01001083001, GSVIVT01032986001, GSVIVT01013854001, GSVIVT01013881001, GSVIVT01005913001, GSVIVT01027942001, GSVIVT01025844001, GSVIVT01019046001, GSVIVT01027376001
GF00402	GSVIVT01001085001, GSVIVT01005845001, GSVIVT01005843001, GSVIVT01005846001, GSVIVT01014416001, GSVIVT01014415001, GSVIVT01025171001, GSVIVT01034762001, GSVIVT01036177001
GF00403	GSVIVT01031747001, GSVIVT01008714001, GSVIVT01020069001, GSVIVT01032922001, GSVIVT01031746001, GSVIVT01031740001, GSVIVT01031742001, GSVIVT01031743001, GSVIVT01031741001
GF00404	GSVIVT01001275001, GSVIVT01004775001, GSVIVT01018628001, GSVIVT01005878001, GSVIVT01009010001, GSVIVT01028707001, GSVIVT01027085001, GSVIVT01023680001, GSVIVT01023679001
GF00405	GSVIVT01001552001, GSVIVT01038453001, GSVIVT01035890001, GSVIVT01002731001, GSVIVT01004270001, GSVIVT01008876001, GSVIVT01002823001, GSVIVT01023587001, GSVIVT01034216001
GF00406	GSVIVT01001596001, GSVIVT01004308001, GSVIVT01011889001, GSVIVT01015242001, GSVIVT01011918001, GSVIVT01030541001, GSVIVT01031052001, GSVIVT01017099001, GSVIVT01015396001
GF00407	GSVIVT01001694001, GSVIVT01034906001, GSVIVT01019609001, GSVIVT01031505001, GSVIVT01022235001, GSVIVT01019300001, GSVIVT01010674001, GSVIVT01016021001, GSVIVT01036876001
GF00408	GSVIVT01010394001, GSVIVT01017659001, GSVIVT01017658001, GSVIVT01017660001, GSVIVT01021414001, GSVIVT01021413001, GSVIVT01020198001, GSVIVT01017656001, GSVIVT01017657001
GF00409	GSVIVT01001863001, GSVIVT01013272001, GSVIVT01019605001, GSVIVT01030642001, GSVIVT01026922001, GSVIVT01026920001, GSVIVT01017808001, GSVIVT01014681001, GSVIVT01036911001
GF00410	GSVIVT01001896001, GSVIVT01005236001, GSVIVT01010788001, GSVIVT01010768001, GSVIVT01010762001, GSVIVT01010765001, GSVIVT01010761001, GSVIVT01001897001, GSVIVT01001898001
GF00411	GSVIVT01032226001, GSVIVT01007741001, GSVIVT01007745001, GSVIVT01007742001, GSVIVT01032466001, GSVIVT01009165001, GSVIVT01013736001, GSVIVT01015633001, GSVIVT01033557001
GF00412	GSVIVT01002010001, GSVIVT01032523001, GSVIVT01009290001, GSVIVT01016135001, GSVIVT01033168001, GSVIVT01033767001, GSVIVT01034719001, GSVIVT01031405001, GSVIVT01025737001
GF00413	GSVIVT01002073001, GSVIVT01038461001, GSVIVT01026841001, GSVIVT01012944001, GSVIVT01024844001, GSVIVT01007626001, GSVIVT01016431001, GSVIVT01034054001, GSVIVT01011088001
GF00414	GSVIVT01002584001, GSVIVT01033384001, GSVIVT01034245001, GSVIVT01030073001, GSVIVT01014995001, GSVIVT01015435001, GSVIVT01022253001, GSVIVT01014467001, GSVIVT01018181001
GF00415	GSVIVT01002648001, GSVIVT01031689001, GSVIVT01034263001, GSVIVT01002904001, GSVIVT01020820001, GSVIVT01013566001, GSVIVT01016338001, GSVIVT01026760001, GSVIVT01026409001
GF00416	GSVIVT01030462001, GSVIVT01030466001, GSVIVT01030467001, GSVIVT01030458001, GSVIVT01030456001, GSVIVT01030468001, GSVIVT01030461001, GSVIVT01030464001, GSVIVT01030459001
GF00417	GSVIVT01003333001, GSVIVT01003340001, GSVIVT01037751001, GSVIVT01003552001, GSVIVT01019325001, GSVIVT01031805001, GSVIVT01037881001, GSVIVT01036871001, GSVIVT01037716001
GF00418	GSVIVT01003381001, GSVIVT01013643001, GSVIVT01016806001, GSVIVT01027207001, GSVIVT01030172001, GSVIVT01020583001, GSVIVT01034717001, GSVIVT01004351001, GSVIVT01015442001
GF00419	GSVIVT01003421001, GSVIVT01009076001, GSVIVT01031070001, GSVIVT01009141001, GSVIVT01014210001, GSVIVT01009037001, GSVIVT01012207001, GSVIVT01021210001, GSVIVT01003608001
GF00420	GSVIVT01003486001, GSVIVT01003490001, GSVIVT01014660001, GSVIVT01014661001, GSVIVT01014662001, GSVIVT01020867001, GSVIVT01028259001, GSVIVT01021396001, GSVIVT01020868001
GF00421	GSVIVT01015126001, GSVIVT01015125001, GSVIVT01015139001, GSVIVT01015136001, GSVIVT01015141001, GSVIVT01015132001, GSVIVT01036635001, GSVIVT01035439001, GSVIVT01035440001
GF00422	GSVIVT01021404001, GSVIVT01032233001, GSVIVT01004632001, GSVIVT01012723001, GSVIVT01011429001, GSVIVT01038557001, GSVIVT01019680001, GSVIVT01027437001, GSVIVT01018618001
GF00423	GSVIVT01004706001, GSVIVT01015254001, GSVIVT01013821001, GSVIVT01006160001, GSVIVT01023072001, GSVIVT01036115001, GSVIVT01013293001, GSVIVT01005287001, GSVIVT01023148001
GF00424	GSVIVT01004850001, GSVIVT01004855001, GSVIVT01035178001, GSVIVT01021274001, GSVIVT01030857001, GSVIVT01034224001, GSVIVT01019729001, GSVIVT01011407001, GSVIVT01017896001
GF00425	GSVIVT01005133001, GSVIVT01014721001, GSVIVT01014720001, GSVIVT01014724001, GSVIVT01005135001, GSVIVT01007176001, GSVIVT01007217001, GSVIVT01014726001, GSVIVT01014725001
GF00426	GSVIVT01036992001, GSVIVT01036470001, GSVIVT01018511001, GSVIVT01027060001, GSVIVT01032519001, GSVIVT01019502001, GSVIVT01036469001, GSVIVT01020160001, GSVIVT01036995001
GF00427	GSVIVT01005847001, GSVIVT01005848001, GSVIVT01017420001, GSVIVT01017391001, GSVIVT01017397001, GSVIVT01023519001, GSVIVT01017401001, GSVIVT01017392001, GSVIVT01017411001
GF00428	GSVIVT01006543001, GSVIVT01019631001, GSVIVT01038594001, GSVIVT01032842001, GSVIVT01033969001, GSVIVT01027191001, GSVIVT01014293001, GSVIVT01038595001, GSVIVT01032841001
GF00429	GSVIVT01006592001, GSVIVT01037024001, GSVIVT01037026001, GSVIVT01037034001, GSVIVT01037031001, GSVIVT01010221001, GSVIVT01037022001, GSVIVT01021534001, GSVIVT01010218001
GF00430	GSVIVT01006776001, GSVIVT01009003001, GSVIVT01022541001, GSVIVT01013328001, GSVIVT01037844001, GSVIVT01013347001, GSVIVT01029802001, GSVIVT01029801001, GSVIVT01013326001
GF00431	GSVIVT01007569001, GSVIVT01017734001, GSVIVT01037535001, GSVIVT01037347001, GSVIVT01020013001, GSVIVT01011950001, GSVIVT01029947001, GSVIVT01032493001, GSVIVT01032495001
GF00432	GSVIVT01008109001, GSVIVT01032911001, GSVIVT01021528001, GSVIVT01021167001, GSVIVT01014236001, GSVIVT01020666001, GSVIVT01008234001, GSVIVT01011962001, GSVIVT01036449001
GF00433	GSVIVT01008388001, GSVIVT01019875001, GSVIVT01010658001, GSVIVT01018434001, GSVIVT01010662001, GSVIVT01018566001, GSVIVT01015848001, GSVIVT01023489001, GSVIVT01023491001
GF00434	GSVIVT01022213001, GSVIVT01028383001, GSVIVT01028382001, GSVIVT01010970001, GSVIVT01028380001, GSVIVT01028384001, GSVIVT01017772001, GSVIVT01036787001, GSVIVT01028381001
GF00435	GSVIVT01009055001, GSVIVT01009067001, GSVIVT01015754001, GSVIVT01009066001, GSVIVT01009065001, GSVIVT01028055001, GSVIVT01009064001, GSVIVT01018556001, GSVIVT01024374001
GF00436	GSVIVT01033545001, GSVIVT01033542001, GSVIVT01033536001, GSVIVT01035013001, GSVIVT01033538001, GSVIVT01031543001, GSVIVT01031544001, GSVIVT01033540001, GSVIVT01033543001
GF00437	GSVIVT01010375001, GSVIVT01026163001, GSVIVT01012841001, GSVIVT01017424001, GSVIVT01031230001, GSVIVT01017433001, GSVIVT01017430001, GSVIVT01029563001, GSVIVT01017440001
GF00438	GSVIVT01010864001, GSVIVT01011704001, GSVIVT01015603001, GSVIVT01023714001, GSVIVT01029746001, GSVIVT01030504001, GSVIVT01035864001, GSVIVT01037092001, GSVIVT01011590001
GF00439	GSVIVT01011286001, GSVIVT01033830001, GSVIVT01036139001, GSVIVT01027500001, GSVIVT01036138001, GSVIVT01027499001, GSVIVT01015892001, GSVIVT01036141001, GSVIVT01036140001
GF00440	GSVIVT01011343001, GSVIVT01028566001, GSVIVT01028569001, GSVIVT01028576001, GSVIVT01021697001, GSVIVT01018744001, GSVIVT01018742001, GSVIVT01017495001, GSVIVT01017969001
GF00441	GSVIVT01012535001, GSVIVT01014824001, GSVIVT01014807001, GSVIVT01014832001, GSVIVT01014821001, GSVIVT01014830001, GSVIVT01014828001, GSVIVT01014816001, GSVIVT01014833001
GF00442	GSVIVT01013421001, GSVIVT01032651001, GSVIVT01027802001, GSVIVT01028732001, GSVIVT01028733001, GSVIVT01028321001, GSVIVT01028323001, GSVIVT01027801001, GSVIVT01027803001
GF00443	GSVIVT01035435001, GSVIVT01035434001, GSVIVT01035430001, GSVIVT01016697001, GSVIVT01035436001, GSVIVT01035433001, GSVIVT01035429001, GSVIVT01035428001, GSVIVT01035431001
GF00444	GSVIVT01013912001, GSVIVT01023023001, GSVIVT01023069001, GSVIVT01023046001, GSVIVT01023034001, GSVIVT01023076001, GSVIVT01038756001, GSVIVT01023027001, GSVIVT01023070001
GF00445	GSVIVT01016605001, GSVIVT01016613001, GSVIVT01025608001, GSVIVT01016609001, GSVIVT01016607001, GSVIVT01016608001, GSVIVT01014322001, GSVIVT01016606001, GSVIVT01017697001
GF00446	GSVIVT01019413001, GSVIVT01028846001, GSVIVT01026961001, GSVIVT01028844001, GSVIVT01028851001, GSVIVT01028848001, GSVIVT01028847001, GSVIVT01028974001, GSVIVT01028849001
GF00447	GSVIVT01000012001, GSVIVT01009097001, GSVIVT01003437001, GSVIVT01027446001, GSVIVT01021074001, GSVIVT01013144001, GSVIVT01017892001, GSVIVT01028719001
GF00448	GSVIVT01000021001, GSVIVT01017890001, GSVIVT01011777001, GSVIVT01027966001, GSVIVT01030880001, GSVIVT01031153001, GSVIVT01017753001, GSVIVT01032941001
GF00449	GSVIVT01020653001, GSVIVT01018729001, GSVIVT01009947001, GSVIVT01024029001, GSVIVT01018319001, GSVIVT01007804001, GSVIVT01015359001, GSVIVT01021145001
GF00450	GSVIVT01000127001, GSVIVT01038194001, GSVIVT01031126001, GSVIVT01014581001, GSVIVT01030643001, GSVIVT01007836001, GSVIVT01011372001, GSVIVT01020145001
GF00451	GSVIVT01009471001, GSVIVT01031723001, GSVIVT01031725001, GSVIVT01031724001, GSVIVT01009472001, GSVIVT01029534001, GSVIVT01009474001, GSVIVT01013655001
GF00452	GSVIVT01031720001, GSVIVT01037585001, GSVIVT01011140001, GSVIVT01011616001, GSVIVT01011139001, GSVIVT01026769001, GSVIVT01026542001, GSVIVT01026764001
GF00453	GSVIVT01000262001, GSVIVT01000263001, GSVIVT01023152001, GSVIVT01023383001, GSVIVT01022824001, GSVIVT01023370001, GSVIVT01023377001, GSVIVT01023153001
GF00454	GSVIVT01034490001, GSVIVT01005212001, GSVIVT01014338001, GSVIVT01020005001, GSVIVT01023975001, GSVIVT01009625001, GSVIVT01021450001, GSVIVT01006163001
GF00455	GSVIVT01000380001, GSVIVT01037418001, GSVIVT01018070001, GSVIVT01021797001, GSVIVT01025831001, GSVIVT01004914001, GSVIVT01003132001, GSVIVT01029852001
GF00456	GSVIVT01000428001, GSVIVT01000426001, GSVIVT01014500001, GSVIVT01000432001, GSVIVT01000437001, GSVIVT01000427001, GSVIVT01014501001, GSVIVT01020562001
GF00457	GSVIVT01000454001, GSVIVT01028441001, GSVIVT01021573001, GSVIVT01026388001, GSVIVT01021569001, GSVIVT01026384001, GSVIVT01035401001, GSVIVT01026378001
GF00458	GSVIVT01000524001, GSVIVT01028579001, GSVIVT01012100001, GSVIVT01017751001, GSVIVT01010710001, GSVIVT01035876001, GSVIVT01036089001, GSVIVT01015598001
GF00459	GSVIVT01000579001, GSVIVT01007589001, GSVIVT01005091001, GSVIVT01000858001, GSVIVT01009612001, GSVIVT01017044001, GSVIVT01031882001, GSVIVT01035639001
GF00460	GSVIVT01000682001, GSVIVT01011963001, GSVIVT01012155001, GSVIVT01021609001, GSVIVT01021611001, GSVIVT01034656001, GSVIVT01003684001, GSVIVT01005552001
GF00461	GSVIVT01000696001, GSVIVT01009158001, GSVIVT01003595001, GSVIVT01033166001, GSVIVT01006731001, GSVIVT01038082001, GSVIVT01000859001, GSVIVT01016888001
GF00462	GSVIVT01031338001, GSVIVT01028516001, GSVIVT01020814001, GSVIVT01007914001, GSVIVT01018165001, GSVIVT01022111001, GSVIVT01009467001, GSVIVT01028238001
GF00463	GSVIVT01000725001, GSVIVT01025238001, GSVIVT01021188001, GSVIVT01020725001, GSVIVT01020674001, GSVIVT01002124001, GSVIVT01021568001, GSVIVT01013550001
GF00464	GSVIVT01020141001, GSVIVT01009639001, GSVIVT01019033001, GSVIVT01028072001, GSVIVT01011066001, GSVIVT01017857001, GSVIVT01011949001, GSVIVT01032581001
GF00465	GSVIVT01016320001, GSVIVT01025635001, GSVIVT01037598001, GSVIVT01035382001, GSVIVT01014238001, GSVIVT01021166001, GSVIVT01038148001, GSVIVT01030389001
GF00466	GSVIVT01001122001, GSVIVT01001123001, GSVIVT01031128001, GSVIVT01014350001, GSVIVT01019429001, GSVIVT01015025001, GSVIVT01025074001, GSVIVT01031791001
GF00467	GSVIVT01001235001, GSVIVT01001243001, GSVIVT01007124001, GSVIVT01010240001, GSVIVT01004800001, GSVIVT01038795001, GSVIVT01005610001, GSVIVT01006094001
GF00468	GSVIVT01001272001, GSVIVT01018625001, GSVIVT01016869001, GSVIVT01035390001, GSVIVT01033873001, GSVIVT01035389001, GSVIVT01006154001, GSVIVT01024570001
GF00469	GSVIVT01007345001, GSVIVT01026627001, GSVIVT01026621001, GSVIVT01026626001, GSVIVT01008760001, GSVIVT01023999001, GSVIVT01024000001, GSVIVT01024001001
GF00470	GSVIVT01031592001, GSVIVT01031613001, GSVIVT01031581001, GSVIVT01031585001, GSVIVT01031600001, GSVIVT01031584001, GSVIVT01031614001, GSVIVT01017303001
GF00471	GSVIVT01001678001, GSVIVT01027429001, GSVIVT01002333001, GSVIVT01019668001, GSVIVT01038556001, GSVIVT01038630001, GSVIVT01016454001, GSVIVT01017272001
GF00472	GSVIVT01033490001, GSVIVT01033488001, GSVIVT01026016001, GSVIVT01026021001, GSVIVT01026020001, GSVIVT01025649001, GSVIVT01026015001, GSVIVT01026018001
GF00473	GSVIVT01035030001, GSVIVT01003829001, GSVIVT01013358001, GSVIVT01035031001, GSVIVT01035272001, GSVIVT01033214001, GSVIVT01033207001, GSVIVT01003832001
GF00474	GSVIVT01001971001, GSVIVT01023461001, GSVIVT01023471001, GSVIVT01036803001, GSVIVT01033876001, GSVIVT01038617001, GSVIVT01012906001, GSVIVT01028198001
GF00475	GSVIVT01023291001, GSVIVT01036565001, GSVIVT01036566001, GSVIVT01008128001, GSVIVT01008129001, GSVIVT01024111001, GSVIVT01024110001, GSVIVT01008130001
GF00476	GSVIVT01001980001, GSVIVT01028367001, GSVIVT01004111001, GSVIVT01004096001, GSVIVT01015579001, GSVIVT01002818001, GSVIVT01038095001, GSVIVT01015576001
GF00477	GSVIVT01002259001, GSVIVT01020650001, GSVIVT01006617001, GSVIVT01016325001, GSVIVT01018579001, GSVIVT01018581001, GSVIVT01023773001, GSVIVT01022584001
GF00478	GSVIVT01017315001, GSVIVT01035911001, GSVIVT01015540001, GSVIVT01017572001, GSVIVT01017571001, GSVIVT01035852001, GSVIVT01026334001, GSVIVT01022109001
GF00479	GSVIVT01002389001, GSVIVT01003419001, GSVIVT01009074001, GSVIVT01004839001, GSVIVT01031806001, GSVIVT01022427001, GSVIVT01023339001, GSVIVT01003554001
GF00480	GSVIVT01002490001, GSVIVT01005124001, GSVIVT01003498001, GSVIVT01003495001, GSVIVT01005128001, GSVIVT01005131001, GSVIVT01003499001, GSVIVT01005123001
GF00481	GSVIVT01002623001, GSVIVT01003756001, GSVIVT01013580001, GSVIVT01027052001, GSVIVT01023864001, GSVIVT01014888001, GSVIVT01023429001, GSVIVT01023430001
GF00482	GSVIVT01003136001, GSVIVT01021796001, GSVIVT01035812001, GSVIVT01022402001, GSVIVT01005492001, GSVIVT01022397001, GSVIVT01030330001, GSVIVT01030328001
GF00483	GSVIVT01003469001, GSVIVT01028856001, GSVIVT01009931001, GSVIVT01019407001, GSVIVT01010120001, GSVIVT01030056001, GSVIVT01014747001, GSVIVT01031612001
GF00484	GSVIVT01003669001, GSVIVT01027160001, GSVIVT01038553001, GSVIVT01033203001, GSVIVT01012667001, GSVIVT01026208001, GSVIVT01031114001, GSVIVT01031115001
GF00485	GSVIVT01003696001, GSVIVT01005916001, GSVIVT01005914001, GSVIVT01031146001, GSVIVT01004468001, GSVIVT01037850001, GSVIVT01019939001, GSVIVT01036922001
GF00486	GSVIVT01019476001, GSVIVT01019471001, GSVIVT01019473001, GSVIVT01019467001, GSVIVT01028722001, GSVIVT01019475001, GSVIVT01019469001, GSVIVT01028744001
GF00487	GSVIVT01003923001, GSVIVT01006504001, GSVIVT01008107001, GSVIVT01032909001, GSVIVT01012227001, GSVIVT01003927001, GSVIVT01008104001, GSVIVT01012225001
GF00488	GSVIVT01012106001, GSVIVT01014123001, GSVIVT01010019001, GSVIVT01029936001, GSVIVT01010454001, GSVIVT01008002001, GSVIVT01036850001, GSVIVT01036826001
GF00489	GSVIVT01003977001, GSVIVT01007563001, GSVIVT01030514001, GSVIVT01019119001, GSVIVT01010980001, GSVIVT01017774001, GSVIVT01019118001, GSVIVT01036686001
GF00490	GSVIVT01004020001, GSVIVT01004028001, GSVIVT01012409001, GSVIVT01012445001, GSVIVT01012437001, GSVIVT01012423001, GSVIVT01012347001, GSVIVT01012425001
GF00491	GSVIVT01004093001, GSVIVT01013199001, GSVIVT01009765001, GSVIVT01031270001, GSVIVT01014925001, GSVIVT01014924001, GSVIVT01015630001, GSVIVT01014898001
GF00492	GSVIVT01024649001, GSVIVT01024656001, GSVIVT01024655001, GSVIVT01024653001, GSVIVT01037367001, GSVIVT01024651001, GSVIVT01024650001, GSVIVT01024658001
GF00493	GSVIVT01004811001, GSVIVT01030488001, GSVIVT01009273001, GSVIVT01007715001, GSVIVT01013790001, GSVIVT01031241001, GSVIVT01018257001, GSVIVT01038787001
GF00494	GSVIVT01005301001, GSVIVT01014542001, GSVIVT01037903001, GSVIVT01009761001, GSVIVT01018886001, GSVIVT01010280001, GSVIVT01038142001, GSVIVT01016594001
GF00495	GSVIVT01019993001, GSVIVT01011420001, GSVIVT01020388001, GSVIVT01020834001, GSVIVT01020394001, GSVIVT01020389001, GSVIVT01020384001, GSVIVT01020387001
GF00496	GSVIVT01007337001, GSVIVT01014587001, GSVIVT01025873001, GSVIVT01020089001, GSVIVT01009794001, GSVIVT01018852001, GSVIVT01009792001, GSVIVT01032600001
GF00497	GSVIVT01007818001, GSVIVT01018097001, GSVIVT01029601001, GSVIVT01029306001, GSVIVT01035174001, GSVIVT01029623001, GSVIVT01021446001, GSVIVT01029609001
GF00498	GSVIVT01007880001, GSVIVT01035900001, GSVIVT01011496001, GSVIVT01014062001, GSVIVT01033000001, GSVIVT01008636001, GSVIVT01014779001, GSVIVT01018510001
GF00499	GSVIVT01008001001, GSVIVT01019978001, GSVIVT01038141001, GSVIVT01030910001, GSVIVT01011789001, GSVIVT01028110001, GSVIVT01031240001, GSVIVT01029178001
GF00500	GSVIVT01008040001, GSVIVT01025902001, GSVIVT01008042001, GSVIVT01033258001, GSVIVT01029736001, GSVIVT01025896001, GSVIVT01038338001, GSVIVT01029737001
GF00501	GSVIVT01008148001, GSVIVT01010502001, GSVIVT01015151001, GSVIVT01030058001, GSVIVT01011612001, GSVIVT01033164001, GSVIVT01018749001, GSVIVT01028113001
GF00502	GSVIVT01029680001, GSVIVT01036732001, GSVIVT01029671001, GSVIVT01015859001, GSVIVT01023005001, GSVIVT01023095001, GSVIVT01029658001, GSVIVT01023084001
GF00503	GSVIVT01024920001, GSVIVT01016510001, GSVIVT01034134001, GSVIVT01025505001, GSVIVT01019972001, GSVIVT01037379001, GSVIVT01015309001, GSVIVT01034136001
GF00504	GSVIVT01008227001, GSVIVT01011966001, GSVIVT01016952001, GSVIVT01021753001, GSVIVT01021189001, GSVIVT01017698001, GSVIVT01024701001, GSVIVT01033729001
GF00505	GSVIVT01011951001, GSVIVT01010951001, GSVIVT01010950001, GSVIVT01010956001, GSVIVT01010949001, GSVIVT01038738001, GSVIVT01010958001, GSVIVT01010955001
GF00506	GSVIVT01008852001, GSVIVT01020159001, GSVIVT01016901001, GSVIVT01015256001, GSVIVT01033907001, GSVIVT01033909001, GSVIVT01038665001, GSVIVT01038664001
GF00507	GSVIVT01008862001, GSVIVT01036007001, GSVIVT01025437001, GSVIVT01025444001, GSVIVT01025446001, GSVIVT01025438001, GSVIVT01025441001, GSVIVT01031457001
GF00508	GSVIVT01008864001, GSVIVT01022370001, GSVIVT01022085001, GSVIVT01009871001, GSVIVT01031711001, GSVIVT01018797001, GSVIVT01008865001, GSVIVT01022086001
GF00509	GSVIVT01008900001, GSVIVT01008982001, GSVIVT01022163001, GSVIVT01028080001, GSVIVT01015252001, GSVIVT01022161001, GSVIVT01020940001, GSVIVT01022162001
GF00510	GSVIVT01009512001, GSVIVT01038361001, GSVIVT01021990001, GSVIVT01020924001, GSVIVT01009513001, GSVIVT01012990001, GSVIVT01032669001, GSVIVT01038277001
GF00511	GSVIVT01010471001, GSVIVT01018296001, GSVIVT01030544001, GSVIVT01029902001, GSVIVT01011367001, GSVIVT01027372001, GSVIVT01038418001, GSVIVT01030916001
GF00512	GSVIVT01010473001, GSVIVT01037727001, GSVIVT01018512001, GSVIVT01036585001, GSVIVT01011594001, GSVIVT01027618001, GSVIVT01037728001, GSVIVT01022573001
GF00513	GSVIVT01010923001, GSVIVT01020339001, GSVIVT01020335001, GSVIVT01020347001, GSVIVT01020319001, GSVIVT01020308001, GSVIVT01020310001, GSVIVT01012128001
