Orthogroup	A. trichopoda	V. vinifera
OG0000010		GSVIVT01014566001, GSVIVT01014569001, GSVIVT01036308001, GSVIVT01036310001, GSVIVT01036312001, GSVIVT01036315001, GSVIVT01036317001, GSVIVT01036318001, GSVIVT01036320001, GSVIVT01036322001, GSVIVT01036330001, GSVIVT01036333001, GSVIVT01036344001, GSVIVT01036346001, GSVIVT01036348001, GSVIVT01036352001, GSVIVT01036360001, GSVIVT01036361001, GSVIVT01036366001, GSVIVT01036367001, GSVIVT01036371001, GSVIVT01036374001, GSVIVT01036376001
OG0000011		GSVIVT01017016001, GSVIVT01017017001, GSVIVT01017020001, GSVIVT01017023001, GSVIVT01017079001, GSVIVT01017134001, GSVIVT01017142001, GSVIVT01017143001, GSVIVT01017148001, GSVIVT01017149001, GSVIVT01017166001, GSVIVT01017232001, GSVIVT01017269001, GSVIVT01020267001, GSVIVT01020278001, GSVIVT01020290001, GSVIVT01023748001, GSVIVT01034252001, GSVIVT01038386001, GSVIVT01038391001, GSVIVT01038404001
OG0000012		GSVIVT01000429001, GSVIVT01003287001, GSVIVT01005375001, GSVIVT01005704001, GSVIVT01005706001, GSVIVT01005708001, GSVIVT01005712001, GSVIVT01006743001, GSVIVT01014487001, GSVIVT01014491001, GSVIVT01014494001, GSVIVT01014496001, GSVIVT01014498001, GSVIVT01014506001, GSVIVT01014507001, GSVIVT01014511001, GSVIVT01014513001, GSVIVT01014515001, GSVIVT01014517001, GSVIVT01014531001, GSVIVT01015794001
OG0000013	ATR0057G020.1, ATR0521G001.1, ATR0582G161.1, ATR0681G080.1, ATR0681G217.1, ATR0681G231.1, ATR0730G093.1, ATR0736G009.1, ATR0736G026.1, ATR0736G153.1, ATR0737G124.1, ATR0763G270.1, ATR1096G071.1, ATR1096G074.1, ATR1096G102.1, ATR1096G135.1, ATR1096G136.1, ATR1136G071.1, ATR1136G141.1	
OG0000014	ATR0067G001.1, ATR0743G054.1, ATR0743G057.1, ATR0743G061.1, ATR0743G077.1, ATR0743G143.1, ATR0743G166.1, ATR0743G167.1, ATR0743G168.1, ATR0743G196.1, ATR0743G200.1, ATR0743G225.1, ATR0743G245.1, ATR0789G075.1, ATR0789G176.1, ATR1061G001.1	GSVIVT01031580001, GSVIVT01038204001, GSVIVT01038207001
OG0000015	ATR0150G009.1, ATR0499G007.1, ATR0499G015.1, ATR0691G019.1, ATR0691G269.1, ATR0730G223.1, ATR0751G062.1, ATR0751G173.1, ATR0751G224.1, ATR0807G065.1, ATR0991G001.1, ATR1001G001.1, ATR1128G054.1, ATR1149G063.1, ATR1149G072.1, ATR1149G076.1, ATR1149G081.1	GSVIVT01007238001, GSVIVT01030098001
OG0000016	ATR0584G069.1, ATR0584G137.1, ATR0584G144.1, ATR0584G249.1, ATR0661G105.1, ATR0772G171.1, ATR0776G098.1, ATR0820G005.1, ATR0820G026.1, ATR0820G045.1, ATR0820G048.1, ATR0820G098.1, ATR0820G132.1, ATR0820G179.1, ATR0820G243.1, ATR0820G286.1	GSVIVT01009630001, GSVIVT01010160001, GSVIVT01010161001
OG0000017	ATR0602G030.1, ATR0665G606.1, ATR0721G137.1	GSVIVT01004406001, GSVIVT01020680001, GSVIVT01020681001, GSVIVT01027734001, GSVIVT01027739001, GSVIVT01027741001, GSVIVT01027744001, GSVIVT01027746001, GSVIVT01027749001, GSVIVT01027750001, GSVIVT01027751001, GSVIVT01027753001, GSVIVT01027754001, GSVIVT01027755001, GSVIVT01027757001, GSVIVT01027759001
OG0000018	ATR0564G266.1, ATR0564G382.1, ATR0580G042.1, ATR0580G147.1, ATR0580G150.1, ATR0580G173.1, ATR0580G227.1, ATR0580G231.1, ATR0580G243.1, ATR0580G265.1, ATR0580G375.1, ATR0580G377.1, ATR0594G010.1, ATR0602G142.1, ATR0602G170.1, ATR0712G082.1	GSVIVT01021159001, GSVIVT01021161001
OG0000019	ATR0150G012.1, ATR0706G037.1, ATR0706G082.1, ATR0706G095.1, ATR0706G134.1, ATR0706G139.1, ATR0706G222.1, ATR0743G229.1, ATR1096G022.1, ATR1096G039.1, ATR1096G073.1, ATR1096G075.1, ATR1096G080.1, ATR1096G099.1, ATR1096G121.1, ATR1096G150.1	GSVIVT01036930001, GSVIVT01036932001
OG0000020	ATR0794G141.1	GSVIVT01020516001, GSVIVT01020517001, GSVIVT01020519001, GSVIVT01020522001, GSVIVT01020524001, GSVIVT01020527001, GSVIVT01020530001, GSVIVT01030360001, GSVIVT01030361001, GSVIVT01030362001, GSVIVT01030363001, GSVIVT01030366001, GSVIVT01030367001, GSVIVT01030371001, GSVIVT01030372001, GSVIVT01036243001, GSVIVT01036248001
OG0000021		GSVIVT01020619001, GSVIVT01020623001, GSVIVT01020629001, GSVIVT01020630001, GSVIVT01020631001, GSVIVT01020634001, GSVIVT01020635001, GSVIVT01020636001, GSVIVT01020637001, GSVIVT01020640001, GSVIVT01020642001, GSVIVT01020645001, GSVIVT01020647001, GSVIVT01020731001, GSVIVT01020734001, GSVIVT01021134001, GSVIVT01021135001, GSVIVT01026803001
OG0000022	ATR0064G108.1, ATR0548G001.1, ATR0749G065.1, ATR0782G019.1, ATR0782G026.1, ATR0782G068.1, ATR0782G080.1, ATR0782G090.1, ATR0782G141.1, ATR0782G163.1, ATR0782G169.1, ATR0782G205.1, ATR0782G209.1, ATR0782G214.1, ATR0782G234.1, ATR0862G001.1	GSVIVT01015745001
OG0000023	ATR0329G007.1, ATR0605G020.1, ATR0605G073.1, ATR0605G125.1, ATR0605G134.1, ATR0605G304.1, ATR0605G329.1, ATR0605G391.1	GSVIVT01000349001, GSVIVT01000352001, GSVIVT01021671001, GSVIVT01021673001, GSVIVT01021682001, GSVIVT01021685001, GSVIVT01021686001, GSVIVT01021687001, GSVIVT01021694001
OG0000024	ATR0057G078.1, ATR0329G008.1, ATR0602G217.1, ATR0605G058.1, ATR0629G132.1, ATR0712G098.1, ATR0737G068.1, ATR0767G025.1, ATR0767G133.1, ATR1136G207.1	GSVIVT01001044001, GSVIVT01004465001, GSVIVT01014037001, GSVIVT01021118001, GSVIVT01023246001, GSVIVT01028433001, GSVIVT01033343001
OG0000025	ATR0068G052.1, ATR0177G005.1, ATR0315G005.1, ATR0559G084.1, ATR0559G234.1, ATR0598G226.1, ATR0661G553.1, ATR0705G061.1, ATR0705G080.1, ATR0705G121.1, ATR0705G154.1, ATR0716G024.1, ATR0807G018.1, ATR1096G090.1, ATR1152G012.1, ATR1152G038.1, ATR1152G081.1	
OG0000026	ATR0130G003.1, ATR0580G031.1, ATR0580G058.1, ATR0580G087.1, ATR0580G099.1, ATR0580G264.1, ATR0580G438.1, ATR0629G001.1, ATR0665G121.1, ATR0716G025.1, ATR0724G062.1, ATR0733G020.1, ATR0733G250.1	GSVIVT01023861001, GSVIVT01030032001, GSVIVT01035103001
OG0000027	ATR0661G095.1	GSVIVT01002748001, GSVIVT01002913001, GSVIVT01004309001, GSVIVT01004310001, GSVIVT01006119001, GSVIVT01007245001, GSVIVT01007246001, GSVIVT01007431001, GSVIVT01007433001, GSVIVT01023923001, GSVIVT01023924001, GSVIVT01023925001, GSVIVT01023927001, GSVIVT01023928001, GSVIVT01023929001
OG0000028	ATR0090G022.1, ATR0232G001.1, ATR0307G036.1, ATR0307G093.1, ATR0322G022.1, ATR0322G040.1, ATR0680G166.1, ATR0752G065.1, ATR0752G069.1, ATR0752G136.1, ATR1089G011.1, ATR1089G055.1, ATR1089G099.1, ATR1136G060.1, ATR1136G072.1	
OG0000029	ATR0009G008.1, ATR0705G024.1, ATR0705G046.1, ATR0705G068.1, ATR0705G075.1, ATR0705G077.1, ATR0705G097.1, ATR0705G124.1, ATR0705G135.1, ATR0705G220.1	GSVIVT01016909001, GSVIVT01016915001, GSVIVT01016933001, GSVIVT01016939001, GSVIVT01016947001
OG0000030	ATR0584G081.1, ATR0584G231.1	GSVIVT01009875001, GSVIVT01019092001, GSVIVT01019093001, GSVIVT01019095001, GSVIVT01019096001, GSVIVT01019097001, GSVIVT01019099001, GSVIVT01019105001, GSVIVT01019106001, GSVIVT01024120001, GSVIVT01024127001, GSVIVT01024134001, GSVIVT01024136001
OG0000031	ATR0049G029.1, ATR0752G086.1	GSVIVT01001206001, GSVIVT01001208001, GSVIVT01001209001, GSVIVT01001212001, GSVIVT01001214001, GSVIVT01003109001, GSVIVT01003111001, GSVIVT01005252001, GSVIVT01017530001, GSVIVT01017534001, GSVIVT01017538001, GSVIVT01017541001, GSVIVT01019157001
OG0000032	ATR0580G119.1, ATR0580G189.1, ATR0580G404.1, ATR0661G362.1, ATR0681G252.1, ATR0693G067.1, ATR0693G238.1, ATR0733G249.1, ATR0763G010.1	GSVIVT01016577001, GSVIVT01025005001, GSVIVT01025063001, GSVIVT01032631001, GSVIVT01034208001
OG0000033	ATR0068G103.1, ATR0069G055.1, ATR0213G023.1, ATR0215G003.1, ATR0307G102.1, ATR0559G140.1, ATR0624G070.1, ATR0681G375.1, ATR0752G080.1, ATR0759G003.1, ATR0759G129.1, ATR0998G004.1, ATR1134G047.1, ATR1134G064.1	
OG0000034	ATR0807G241.1	GSVIVT01004898001, GSVIVT01014951001, GSVIVT01014953001, GSVIVT01014960001, GSVIVT01014962001, GSVIVT01014963001, GSVIVT01014973001, GSVIVT01014974001, GSVIVT01038031001, GSVIVT01038035001, GSVIVT01038037001, GSVIVT01038039001, GSVIVT01038046001
OG0000035	ATR0048G005.1, ATR0499G016.1, ATR0620G048.1, ATR0691G032.1, ATR0691G068.1, ATR0691G121.1, ATR0691G236.1, ATR0751G085.1, ATR0751G209.1, ATR0751G267.1, ATR1128G046.1, ATR1149G043.1	GSVIVT01008392001, GSVIVT01032161001
OG0000036	ATR0561G213.1, ATR0561G242.1, ATR0582G025.1, ATR0582G028.1, ATR0582G049.1, ATR0582G101.1, ATR0582G238.1, ATR0582G249.1, ATR0582G366.1, ATR0594G032.1, ATR0594G079.1, ATR0594G225.1, ATR0594G229.1	GSVIVT01001131001
OG0000037	ATR0387G002.1, ATR1145G026.1, ATR1199G001.1	GSVIVT01001754001, GSVIVT01001758001, GSVIVT01001880001, GSVIVT01003580001, GSVIVT01004878001, GSVIVT01004884001, GSVIVT01004895001, GSVIVT01005290001, GSVIVT01012469001, GSVIVT01026685001, GSVIVT01034315001
OG0000038	ATR0529G001.1, ATR0728G001.1, ATR1102G053.1	GSVIVT01004277001, GSVIVT01017582001, GSVIVT01017593001, GSVIVT01023295001, GSVIVT01023302001, GSVIVT01031854001, GSVIVT01031860001, GSVIVT01031862001, GSVIVT01031868001, GSVIVT01031871001, GSVIVT01031875001
OG0000039	ATR0691G139.1, ATR1152G041.1	GSVIVT01012993001, GSVIVT01018127001, GSVIVT01026742001, GSVIVT01026820001, GSVIVT01028624001, GSVIVT01028626001, GSVIVT01028627001, GSVIVT01028629001, GSVIVT01028632001, GSVIVT01037475001, GSVIVT01037476001, GSVIVT01037477001
OG0000040	ATR0455G001.1, ATR0691G286.1, ATR0751G002.1, ATR0751G206.1, ATR0831G001.1, ATR1101G001.1, ATR1101G037.1, ATR1101G041.1, ATR1101G073.1, ATR1136G087.1	GSVIVT01024099001, GSVIVT01024100001, GSVIVT01026745001
OG0000041	ATR0131G001.1, ATR0397G001.1, ATR0680G355.1, ATR0693G118.1, ATR0693G159.1, ATR0693G296.1, ATR0693G357.1, ATR0693G435.1, ATR0986G001.1, ATR1023G001.1	GSVIVT01023953001, GSVIVT01023954001, GSVIVT01030546001
OG0000042	ATR0177G051.1, ATR0339G001.1, ATR0543G001.1, ATR0736G073.1, ATR1145G037.1, ATR1145G040.1, ATR1145G041.1, ATR1145G062.1, ATR1145G094.1	GSVIVT01030965001, GSVIVT01030967001, GSVIVT01030968001, GSVIVT01031085001
OG0000043	ATR0101G001.1, ATR0317G024.1, ATR0317G031.1, ATR0317G055.1, ATR0317G071.1, ATR0317G092.1, ATR0317G103.1, ATR0317G131.1, ATR0418G001.1, ATR0762G004.1	GSVIVT01007342001, GSVIVT01019201001, GSVIVT01019205001
OG0000044	ATR0602G223.1	GSVIVT01019568001, GSVIVT01019570001, GSVIVT01019572001, GSVIVT01019575001, GSVIVT01019580001, GSVIVT01019581001, GSVIVT01019582001, GSVIVT01019583001, GSVIVT01019586001, GSVIVT01019587001, GSVIVT01019589001, GSVIVT01019591001
OG0000045	ATR0188G025.1, ATR0629G097.1	GSVIVT01001503001, GSVIVT01003423001, GSVIVT01006535001, GSVIVT01009838001, GSVIVT01018808001, GSVIVT01025316001, GSVIVT01025318001, GSVIVT01026582001, GSVIVT01027073001, GSVIVT01032047001, GSVIVT01034510001
OG0000046		GSVIVT01033121001, GSVIVT01033127001, GSVIVT01033129001, GSVIVT01033131001, GSVIVT01033132001, GSVIVT01033133001, GSVIVT01033137001, GSVIVT01033142001, GSVIVT01033150001, GSVIVT01033151001, GSVIVT01033156001, GSVIVT01033160001, GSVIVT01033163001
OG0000047	ATR0041G003.1, ATR0075G011.1, ATR0075G044.1, ATR0147G020.1, ATR0314G046.1, ATR0594G172.1, ATR0787G111.1, ATR0827G152.1, ATR1093G022.1, ATR1126G012.1, ATR1159G032.1	GSVIVT01031476001
OG0000048	ATR0213G008.1, ATR0213G015.1, ATR0213G024.1, ATR0582G365.1, ATR0598G084.1, ATR0743G018.1	GSVIVT01001896001, GSVIVT01010761001, GSVIVT01010762001, GSVIVT01010765001, GSVIVT01010768001, GSVIVT01010788001
OG0000049	ATR0661G080.1, ATR0661G094.1, ATR0661G142.1, ATR0661G180.1, ATR0661G220.1, ATR0661G397.1, ATR0661G431.1, ATR0661G442.1, ATR0661G473.1, ATR0661G483.1, ATR0661G520.1, ATR0661G547.1	
OG0000050	ATR0225G006.1, ATR0225G036.1, ATR0225G039.1, ATR0580G010.1, ATR0580G222.1, ATR0580G256.1, ATR0580G340.1, ATR0582G213.1, ATR0680G203.1, ATR0686G192.1	GSVIVT01007781001, GSVIVT01009449001
OG0000051	ATR0564G386.1, ATR0564G517.1, ATR0605G065.1, ATR0736G067.1	GSVIVT01002253001, GSVIVT01020729001, GSVIVT01020730001, GSVIVT01021635001, GSVIVT01021636001, GSVIVT01021645001, GSVIVT01021648001, GSVIVT01029278001
OG0000052	ATR0193G025.1, ATR0193G049.1, ATR0686G029.1, ATR0686G046.1	GSVIVT01013912001, GSVIVT01023023001, GSVIVT01023027001, GSVIVT01023034001, GSVIVT01023046001, GSVIVT01023069001, GSVIVT01023076001, GSVIVT01038756001
OG0000053	ATR0068G081.1, ATR0068G089.1, ATR0824G032.1, ATR0824G050.1, ATR0824G153.1, ATR0824G197.1, ATR0824G219.1, ATR0824G266.1	GSVIVT01025486001, GSVIVT01032230001, GSVIVT01032283001, GSVIVT01035577001
OG0000054	ATR0767G137.1	GSVIVT01003562001, GSVIVT01003565001, GSVIVT01003566001, GSVIVT01003571001, GSVIVT01003572001, GSVIVT01007143001, GSVIVT01007144001, GSVIVT01034428001, GSVIVT01034429001, GSVIVT01034432001, GSVIVT01034433001
OG0000055	ATR0559G026.1, ATR0559G030.1, ATR0559G097.1, ATR0559G281.1, ATR0665G408.1	GSVIVT01016487001, GSVIVT01016489001, GSVIVT01024879001, GSVIVT01024885001, GSVIVT01024890001, GSVIVT01024892001, GSVIVT01024893001
OG0000056	ATR0733G186.1	GSVIVT01005600001, GSVIVT01006146001, GSVIVT01022447001, GSVIVT01022448001, GSVIVT01022452001, GSVIVT01031558001, GSVIVT01037123001, GSVIVT01037125001, GSVIVT01037127001, GSVIVT01037129001, GSVIVT01037130001
OG0000057	ATR0213G017.1, ATR0213G035.1	GSVIVT01014110001, GSVIVT01014113001, GSVIVT01014117001, GSVIVT01014120001, GSVIVT01014128001, GSVIVT01014134001, GSVIVT01014138001, GSVIVT01014145001, GSVIVT01014147001, GSVIVT01014150001
OG0000058	ATR1149G066.1	GSVIVT01032530001, GSVIVT01032531001, GSVIVT01032532001, GSVIVT01032533001, GSVIVT01032534001, GSVIVT01032535001, GSVIVT01032536001, GSVIVT01035081001, GSVIVT01035083001, GSVIVT01035085001, GSVIVT01035088001
OG0000059		GSVIVT01016257001, GSVIVT01024292001, GSVIVT01024293001, GSVIVT01024294001, GSVIVT01024295001, GSVIVT01024299001, GSVIVT01024303001, GSVIVT01024305001, GSVIVT01024306001, GSVIVT01024315001, GSVIVT01025214001, GSVIVT01025703001
OG0000060		GSVIVT01000181001, GSVIVT01000182001, GSVIVT01000184001, GSVIVT01000186001, GSVIVT01000187001, GSVIVT01000189001, GSVIVT01000192001, GSVIVT01000194001, GSVIVT01000196001, GSVIVT01000198001, GSVIVT01002378001, GSVIVT01002607001
OG0000061	ATR0026G009.1, ATR0210G003.1, ATR0210G015.1, ATR0210G042.1, ATR0210G044.1, ATR0594G029.1, ATR0680G253.1, ATR0829G101.1, ATR0829G189.1	GSVIVT01013665001, GSVIVT01016403001
OG0000062	ATR0626G172.1, ATR0665G295.1, ATR0796G188.1, ATR0796G296.1, ATR0923G004.1, ATR1120G190.1, ATR1132G056.1	GSVIVT01005085001, GSVIVT01007552001, GSVIVT01009586001, GSVIVT01031852001
OG0000063	ATR0304G010.1, ATR0304G020.1, ATR0304G028.1, ATR0304G036.1, ATR0304G046.1, ATR0304G064.1, ATR1155G019.1, ATR1155G029.1	GSVIVT01013720001, GSVIVT01013744001, GSVIVT01024008001
OG0000064	ATR0057G119.1, ATR0605G269.1, ATR0661G111.1, ATR0680G101.1, ATR0752G233.1, ATR0782G216.1	GSVIVT01002871001, GSVIVT01003937001, GSVIVT01004252001, GSVIVT01004860001, GSVIVT01032339001
OG0000065	ATR0100G002.1, ATR0100G010.1, ATR0100G039.1, ATR0100G045.1, ATR0100G051.1, ATR0100G062.1	GSVIVT01007450001, GSVIVT01009531001, GSVIVT01009533001, GSVIVT01009537001, GSVIVT01009543001
OG0000066	ATR0605G030.1, ATR0605G080.1, ATR0605G183.1, ATR0605G246.1, ATR0605G292.1, ATR0605G361.1, ATR0605G368.1, ATR1049G001.1	GSVIVT01025346001, GSVIVT01025348001, GSVIVT01025349001
OG0000067	ATR0620G012.1, ATR0620G102.1, ATR0620G122.1, ATR0620G141.1, ATR0620G148.1, ATR0661G115.1, ATR0661G247.1, ATR0661G404.1	GSVIVT01024284001, GSVIVT01024285001, GSVIVT01024290001
OG0000068	ATR0810G240.1, ATR1149G102.1	GSVIVT01016962001, GSVIVT01020273001, GSVIVT01020286001, GSVIVT01020289001, GSVIVT01020292001, GSVIVT01020293001, GSVIVT01023177001, GSVIVT01034250001, GSVIVT01038402001
OG0000069	ATR0564G209.1, ATR0564G353.1, ATR0564G358.1, ATR0564G412.1, ATR0620G011.1, ATR0767G057.1, ATR0767G094.1, ATR0767G144.1	GSVIVT01019987001, GSVIVT01019988001, GSVIVT01029023001
OG0000070	ATR1136G024.1, ATR1136G093.1, ATR1136G095.1, ATR1136G203.1, ATR1145G084.1	GSVIVT01013386001, GSVIVT01013387001, GSVIVT01025924001, GSVIVT01025925001, GSVIVT01025926001, GSVIVT01025930001
OG0000071	ATR0081G064.1, ATR0772G120.1	GSVIVT01011519001, GSVIVT01022690001, GSVIVT01022699001, GSVIVT01022702001, GSVIVT01022705001, GSVIVT01022712001, GSVIVT01022714001, GSVIVT01022715001, GSVIVT01022723001
OG0000072	ATR0037G066.1, ATR0322G073.1, ATR0618G093.1, ATR0618G196.1, ATR0665G146.1, ATR0705G172.1, ATR0723G043.1, ATR0752G227.1, ATR1098G085.1, ATR1120G092.1, ATR1120G102.1	
OG0000073	ATR0602G280.1, ATR0733G099.1, ATR0733G123.1	GSVIVT01031814001, GSVIVT01031815001, GSVIVT01031820001, GSVIVT01031826001, GSVIVT01031827001, GSVIVT01031830001, GSVIVT01031834001, GSVIVT01031837001
OG0000074	ATR0057G073.1	GSVIVT01013905001, GSVIVT01013913001, GSVIVT01013916001, GSVIVT01013917001, GSVIVT01013918001, GSVIVT01013923001, GSVIVT01013924001, GSVIVT01013929001, GSVIVT01013931001, GSVIVT01013935001
OG0000075		GSVIVT01014499001, GSVIVT01014500001, GSVIVT01014504001, GSVIVT01014512001, GSVIVT01014518001, GSVIVT01014520001, GSVIVT01014524001, GSVIVT01014529001, GSVIVT01014532001, GSVIVT01014534001, GSVIVT01014538001
OG0000076		GSVIVT01004867001, GSVIVT01004877001, GSVIVT01012762001, GSVIVT01020964001, GSVIVT01023025001, GSVIVT01026003001, GSVIVT01026094001, GSVIVT01026099001, GSVIVT01036400001, GSVIVT01036408001, GSVIVT01037221001
