	Atr.cds
GF00824	ATR0580G401.1, ATR0626G010.1, ATR0626G288.1, ATR0626G285.1, ATR0626G387.1
GF00825	ATR0751G053.1, ATR0751G146.1, ATR0751G021.1, ATR0751G247.1, ATR0807G005.1
GF00826	ATR0582G088.1, ATR1101G057.1, ATR0618G404.1, ATR0602G111.1, ATR0691G215.1
GF00827	ATR0582G294.1, ATR0743G074.1, ATR0585G107.1, ATR0693G268.1, ATR0693G138.1
GF00828	ATR0582G343.1, ATR0681G318.1, ATR0584G220.1, ATR0994G012.1, ATR0772G102.1
GF00829	ATR0796G314.1, ATR0763G094.1, ATR0965G001.1, ATR0763G049.1, ATR0763G284.1
GF00830	ATR0582G358.1, ATR0605G189.1, ATR0994G009.1, ATR0733G231.1, ATR0624G088.1
GF00831	ATR0584G081.1, ATR0584G231.1, ATR0694G003.1, ATR0996G012.1, ATR0584G202.1
GF00832	ATR0584G090.1, ATR0584G237.1, ATR0584G268.1, ATR0584G211.1, ATR0736G137.1
GF00833	ATR0584G108.1, ATR0681G223.1, ATR0665G278.1, ATR0661G275.1, ATR0661G505.1
GF00834	ATR0584G174.1, ATR1132G020.1, ATR1128G074.1, ATR0693G023.1, ATR0693G085.1
GF00835	ATR0589G010.1, ATR0661G563.1, ATR0589G029.1, ATR0737G128.1, ATR0737G023.1
GF00836	ATR0589G028.1, ATR0589G073.1, ATR0589G120.1, ATR0589G125.1, ATR0589G078.1
GF00837	ATR0589G100.1, ATR1131G002.1, ATR0757G078.1, ATR1131G032.1, ATR1131G061.1
GF00838	ATR0594G052.1, ATR0686G151.1, ATR0753G083.1, ATR0691G252.1, ATR1176G001.1
GF00839	ATR0594G083.1, ATR0661G455.1, ATR0733G031.1, ATR1136G097.1, ATR0733G072.1
GF00840	ATR0598G018.1, ATR0697G220.1, ATR0705G174.1, ATR0705G027.1, ATR0767G211.1
GF00841	ATR0598G072.1, ATR0829G078.1, ATR0730G191.1, ATR0705G170.1, ATR0767G263.1
GF00842	ATR1091G048.1, ATR0624G115.1, ATR0767G159.1, ATR0684G108.1, ATR0680G432.1
GF00843	ATR0602G064.1, ATR1089G133.1, ATR1089G129.1, ATR0810G224.1, ATR0810G269.1
GF00844	ATR0605G095.1, ATR1120G169.1, ATR0820G073.1, ATR0605G276.1, ATR0810G244.1
GF00845	ATR0605G166.1, ATR1136G120.1, ATR0796G302.1, ATR0691G154.1, ATR1136G149.1
GF00846	ATR0618G164.1, ATR0745G079.1, ATR0665G170.1, ATR1127G183.1, ATR1089G111.1
GF00847	ATR0620G147.1, ATR0743G212.1, ATR0736G219.1, ATR0697G130.1, ATR0724G026.1
GF00848	ATR0626G024.1, ATR0697G168.1, ATR0737G129.1, ATR1091G091.1, ATR1136G121.1
GF00849	ATR0626G264.1, ATR0691G009.1, ATR0753G091.1, ATR0753G033.1, ATR0626G359.1
GF00850	ATR0661G173.1, ATR0730G057.1, ATR1159G043.1, ATR0743G048.1, ATR0807G063.1
GF00851	ATR1089G040.1, ATR1089G141.1, ATR1089G037.1, ATR0999G001.1, ATR0999G002.1
GF00852	ATR0661G355.1, ATR0661G498.1, ATR0661G461.1, ATR0736G096.1, ATR0763G122.1
GF00853	ATR0787G208.1, ATR0736G166.1, ATR1025G001.1, ATR1025G002.1, ATR0736G174.1
GF00854	ATR0680G002.1, ATR0680G226.1, ATR0680G043.1, ATR0680G361.1, ATR1153G049.1
GF00855	ATR0680G172.1, ATR1096G117.1, ATR1098G147.1, ATR0692G002.1, ATR0745G007.1
GF00856	ATR0686G021.1, ATR0743G116.1, ATR0743G105.1, ATR1149G128.1, ATR0706G098.1
GF00857	ATR0686G030.1, ATR0686G063.1, ATR0686G231.1, ATR0686G193.1, ATR0712G087.1
GF00858	ATR0686G087.1, ATR0800G165.1, ATR0716G009.1, ATR0743G257.1, ATR0716G105.1
GF00859	ATR0697G157.1, ATR0759G044.1, ATR0705G049.1, ATR0743G021.1, ATR0759G060.1
GF00860	ATR0697G223.1, ATR1152G046.1, ATR1120G104.1, ATR1091G097.1, ATR0827G016.1
GF00861	ATR0705G100.1, ATR0810G228.1, ATR0796G049.1, ATR0789G092.1, ATR1132G096.1
GF00862	ATR0737G027.1, ATR0737G032.1, ATR0737G172.1, ATR0943G001.1, ATR1149G055.1
GF00863	ATR1096G047.1, ATR1096G149.1, ATR1096G066.1, ATR1096G152.1, ATR1096G084.1
GF00864	ATR1098G069.1, ATR1098G105.1, ATR1098G150.1, ATR1098G106.1, ATR1145G105.1
GF00865	ATR0001G007.1, ATR0763G075.1, ATR0807G145.1, ATR0001G040.1
GF00866	ATR0208G017.1, ATR0580G425.1, ATR0721G116.1, ATR0579G129.1
GF00867	ATR1125G110.1, ATR0622G001.1, ATR1125G121.1, ATR1125G099.1
GF00868	ATR0730G091.1, ATR0315G132.1, ATR0733G251.1, ATR0580G187.1
GF00869	ATR0001G059.1, ATR0661G380.1, ATR0796G185.1, ATR0585G093.1
GF00870	ATR1101G077.1, ATR0691G111.1, ATR1101G022.1, ATR1101G094.1
GF00871	ATR0794G122.1, ATR0620G158.1, ATR0105G006.1, ATR0585G103.1
GF00872	ATR0005G001.1, ATR1088G016.1, ATR0618G181.1, ATR0580G230.1
GF00873	ATR0006G022.1, ATR0712G134.1, ATR0006G068.1, ATR0712G155.1
GF00874	ATR0006G029.1, ATR0006G052.1, ATR0753G139.1, ATR0582G164.1
GF00875	ATR0006G030.1, ATR0661G341.1, ATR1136G136.1, ATR0693G156.1
GF00876	ATR0006G037.1, ATR0684G149.1, ATR1127G089.1, ATR1127G110.1
GF00877	ATR0006G049.1, ATR0580G368.1, ATR0598G188.1, ATR0680G330.1
GF00878	ATR0006G055.1, ATR0618G401.1, ATR1127G237.1, ATR0561G169.1
GF00879	ATR0006G067.1, ATR0626G367.1, ATR0626G052.1, ATR0626G287.1
GF00880	ATR0006G069.1, ATR0810G017.1, ATR0605G087.1, ATR0605G297.1
GF00881	ATR0665G621.1, ATR0584G206.1, ATR0584G148.1, ATR0584G158.1
GF00882	ATR0684G226.1, ATR0661G381.1, ATR1136G022.1, ATR0665G214.1
GF00883	ATR0012G021.1, ATR0174G032.1, ATR1126G072.1, ATR0665G533.1
GF00884	ATR0618G307.1, ATR0807G058.1, ATR0580G044.1, ATR1098G003.1
GF00885	ATR0012G044.1, ATR0705G125.1, ATR1120G166.1, ATR0820G027.1
GF00886	ATR0016G004.1, ATR1094G003.1, ATR0493G001.1, ATR0815G078.1
GF00887	ATR0019G006.1, ATR0019G016.1, ATR0021G053.1, ATR0767G164.1
GF00888	ATR0807G149.1, ATR0083G027.1, ATR0507G001.1, ATR0693G248.1
GF00889	ATR0019G053.1, ATR0221G001.1, ATR1183G001.1, ATR0665G270.1
GF00890	ATR0021G009.1, ATR0829G069.1, ATR0697G118.1, ATR0564G409.1
GF00891	ATR0021G027.1, ATR0782G241.1, ATR0022G048.1, ATR0661G555.1
GF00892	ATR0910G005.1, ATR0745G077.1, ATR0751G045.1, ATR0598G306.1
GF00893	ATR0736G209.1, ATR0165G061.1, ATR0712G168.1, ATR1153G116.1
GF00894	ATR0605G184.1, ATR1049G001.1, ATR0605G183.1, ATR0605G305.1
GF00895	ATR0021G052.1, ATR0723G085.1, ATR1136G185.1, ATR0624G021.1
GF00896	ATR0022G008.1, ATR0796G027.1, ATR0582G174.1, ATR0618G389.1
GF00897	ATR0022G010.1, ATR0049G047.1, ATR0585G117.1, ATR0693G373.1
GF00898	ATR0022G022.1, ATR0582G116.1, ATR0693G229.1, ATR0618G352.1
GF00899	ATR0810G278.1, ATR0582G363.1, ATR0721G009.1, ATR0665G362.1
GF00900	ATR0022G067.1, ATR0693G041.1, ATR0693G006.1, ATR0326G017.1
GF00901	ATR0709G014.1, ATR0618G168.1, ATR0618G306.1, ATR1136G088.1
GF00902	ATR0026G014.1, ATR0680G390.1, ATR1120G038.1, ATR0665G411.1
GF00903	ATR0026G015.1, ATR0150G002.1, ATR0217G010.1, ATR1127G198.1
GF00904	ATR1125G094.1, ATR0706G189.1, ATR0794G093.1, ATR0681G138.1
GF00905	ATR0026G016.1, ATR0789G187.1, ATR0789G062.1, ATR0789G054.1
GF00906	ATR0071G021.1, ATR0071G022.1, ATR0071G002.1, ATR0723G023.1
GF00907	ATR1153G065.1, ATR0097G034.1, ATR1152G089.1, ATR0827G078.1
GF00908	ATR0028G001.1, ATR0605G097.1, ATR0605G027.1, ATR0242G001.1
GF00909	ATR0810G020.1, ATR0605G300.1, ATR0757G108.1, ATR1134G018.1
GF00910	ATR1147G047.1, ATR0079G001.1, ATR0177G016.1, ATR0787G167.1
GF00911	ATR0033G008.1, ATR0697G093.1, ATR0810G199.1, ATR0618G218.1
GF00912	ATR0033G023.1, ATR0180G016.1, ATR0776G021.1, ATR0730G020.1
GF00913	ATR1091G041.1, ATR0693G035.1, ATR0743G169.1, ATR0693G240.1
GF00914	ATR0314G021.1, ATR0314G006.1, ATR0314G017.1, ATR0721G063.1
GF00915	ATR0037G035.1, ATR0661G090.1, ATR0138G004.1, ATR0138G014.1
GF00916	ATR0037G040.1, ATR0594G054.1, ATR0037G070.1, ATR0665G425.1
GF00917	ATR1208G001.1, ATR1155G032.1, ATR0203G001.1, ATR1210G001.1
GF00918	ATR0044G020.1, ATR0219G032.1, ATR1147G003.1, ATR0776G004.1
GF00919	ATR0044G022.1, ATR0804G066.1, ATR0130G013.1, ATR0680G332.1
GF00920	ATR0044G024.1, ATR0580G199.1, ATR0665G580.1, ATR1149G103.1
GF00921	ATR0048G003.1, ATR0745G074.1, ATR0307G068.1, ATR0718G001.1
GF00922	ATR0752G101.1, ATR0193G004.1, ATR0605G067.1, ATR0193G035.1
GF00923	ATR1120G029.1, ATR0598G286.1, ATR0680G259.1, ATR1096G095.1
GF00924	ATR0048G017.1, ATR1127G236.1, ATR0605G203.1, ATR1127G012.1
GF00925	ATR0048G029.1, ATR0564G275.1, ATR0564G390.1, ATR0796G136.1
GF00926	ATR0048G030.1, ATR0789G085.1, ATR0789G012.1, ATR0789G130.1
GF00927	ATR0048G066.1, ATR0782G069.1, ATR0505G001.1, ATR0815G018.1
GF00928	ATR0049G026.1, ATR1127G128.1, ATR0626G162.1, ATR0829G152.1
GF00929	ATR0767G048.1, ATR0705G110.1, ATR0829G211.1, ATR0743G246.1
GF00930	ATR0049G063.1, ATR0605G037.1, ATR0787G050.1, ATR0680G167.1
GF00931	ATR0049G071.1, ATR0605G156.1, ATR0697G250.1, ATR1125G055.1
GF00932	ATR0763G253.1, ATR0697G100.1, ATR0620G065.1, ATR0697G189.1
GF00933	ATR0684G052.1, ATR1120G100.1, ATR1120G025.1, ATR1149G038.1
GF00934	ATR0800G131.1, ATR0118G033.1, ATR0568G205.1, ATR0568G224.1
GF00935	ATR0051G024.1, ATR0681G283.1, ATR0681G185.1, ATR0099G020.1
GF00936	ATR0584G069.1, ATR0584G137.1, ATR0584G144.1, ATR0584G249.1
GF00937	ATR0051G029.1, ATR0057G074.1, ATR0598G343.1, ATR0796G339.1
GF00938	ATR0051G032.1, ATR0730G029.1, ATR0697G279.1, ATR0598G155.1
GF00939	ATR0051G048.1, ATR1101G101.1, ATR1101G014.1, ATR1101G051.1
GF00940	ATR0053G013.1, ATR0705G219.1, ATR0057G111.1, ATR0585G036.1
GF00941	ATR0053G021.1, ATR0693G095.1, ATR0693G459.1, ATR0693G182.1
GF00942	ATR0053G049.1, ATR0751G075.1, ATR0582G183.1, ATR0743G164.1
GF00943	ATR0053G050.1, ATR0767G058.1, ATR0705G182.1, ATR0053G057.1
GF00944	ATR0605G307.1, ATR0763G270.1, ATR0605G281.1, ATR0605G330.1
GF00945	ATR0057G023.1, ATR0705G009.1, ATR1127G147.1, ATR0736G195.1
GF00946	ATR0057G024.1, ATR0705G011.1, ATR0594G013.1, ATR0320G035.1
GF00947	ATR0057G034.1, ATR0767G108.1, ATR0767G252.1, ATR0767G023.1
GF00948	ATR0057G036.1, ATR0057G132.1, ATR0057G056.1, ATR0697G121.1
GF00949	ATR0057G041.1, ATR0929G004.1, ATR0618G313.1, ATR0929G003.1
GF00950	ATR0057G050.1, ATR0580G012.1, ATR0629G032.1, ATR0602G006.1
GF00951	ATR0057G089.1, ATR0705G181.1, ATR0705G129.1, ATR0724G007.1
GF00952	ATR0810G166.1, ATR0810G036.1, ATR0810G052.1, ATR0810G074.1
GF00953	ATR0332G034.1, ATR0332G100.1, ATR1088G050.1, ATR1088G055.1
GF00954	ATR0057G112.1, ATR0752G004.1, ATR0916G008.1, ATR0580G085.1
GF00955	ATR0059G007.1, ATR0950G009.1, ATR0796G015.1, ATR0100G022.1
GF00956	ATR0064G006.1, ATR0064G040.1, ATR0589G079.1, ATR0150G027.1
GF00957	ATR0064G030.1, ATR1120G063.1, ATR0564G394.1, ATR0661G021.1
GF00958	ATR0064G039.1, ATR0115G004.1, ATR0772G212.1, ATR0709G070.1
GF00959	ATR0064G057.1, ATR0697G099.1, ATR0307G019.1, ATR0697G112.1
GF00960	ATR0064G067.1, ATR0317G091.1, ATR0691G073.1, ATR0691G039.1
GF00961	ATR0064G079.1, ATR0317G098.1, ATR0329G012.1, ATR0661G271.1
GF00962	ATR0064G107.1, ATR0580G053.1, ATR0782G226.1, ATR0561G031.1
GF00963	ATR0598G224.1, ATR0598G090.1, ATR0757G007.1, ATR0165G062.1
GF00964	ATR0064G119.1, ATR0064G123.1, ATR0087G012.1, ATR1126G008.1
GF00965	ATR0064G127.1, ATR0743G146.1, ATR0580G396.1, ATR0693G405.1
GF00966	ATR0065G001.1, ATR0994G017.1, ATR1136G102.1, ATR0615G001.1
GF00967	ATR0068G001.1, ATR0564G464.1, ATR0068G044.1, ATR0068G047.1
GF00968	ATR0068G036.1, ATR0796G067.1, ATR0580G197.1, ATR0124G035.1
GF00969	ATR0068G079.1, ATR1156G037.1, ATR0684G206.1, ATR0561G114.1
GF00970	ATR0068G082.1, ATR0069G055.1, ATR0759G045.1, ATR0307G024.1
GF00971	ATR1154G032.1, ATR0314G022.1, ATR0709G059.1, ATR0804G075.1
GF00972	ATR0213G023.1, ATR0681G375.1, ATR1134G047.1, ATR0749G022.1
GF00973	ATR0071G034.1, ATR0829G181.1, ATR0743G144.1, ATR0800G074.1
GF00974	ATR0075G005.1, ATR0605G195.1, ATR0626G033.1, ATR0626G298.1
GF00975	ATR0075G015.1, ATR0075G027.1, ATR0772G066.1, ATR0075G036.1
GF00976	ATR0075G018.1, ATR0626G198.1, ATR0767G208.1, ATR1120G173.1
GF00977	ATR0075G030.1, ATR0661G523.1, ATR0626G082.1, ATR0222G008.1
GF00978	ATR0078G005.1, ATR0759G012.1, ATR0589G097.1, ATR0684G141.1
GF00979	ATR0079G002.1, ATR1162G001.1, ATR0177G050.1, ATR0787G108.1
GF00980	ATR0081G017.1, ATR0772G117.1, ATR1153G061.1, ATR0149G013.1
GF00981	ATR0081G051.1, ATR0579G020.1, ATR0681G048.1, ATR0561G057.1
GF00982	ATR0082G001.1, ATR0661G233.1, ATR0681G206.1, ATR0661G216.1
GF00983	ATR0705G043.1, ATR0099G074.1, ATR1096G078.1, ATR0184G016.1
GF00984	ATR0087G010.1, ATR0629G005.1, ATR1152G076.1, ATR0796G220.1
GF00985	ATR0184G014.1, ATR0796G052.1, ATR0099G079.1, ATR0584G280.1
GF00986	ATR0090G029.1, ATR1102G054.1, ATR0130G004.1, ATR0584G054.1
GF00987	ATR0097G017.1, ATR0796G073.1, ATR0661G522.1, ATR0681G069.1
GF00988	ATR0099G008.1, ATR0763G079.1, ATR0303G003.1, ATR0329G060.1
GF00989	ATR0099G032.1, ATR0225G022.1, ATR0762G011.1, ATR0743G044.1
GF00990	ATR0099G088.1, ATR0665G613.1, ATR0580G043.1, ATR0757G033.1
GF00991	ATR0100G007.1, ATR0807G229.1, ATR0665G436.1, ATR0903G001.1
GF00992	ATR0115G005.1, ATR0626G403.1, ATR1098G112.1, ATR0100G014.1
GF00993	ATR0100G013.1, ATR0751G262.1, ATR0824G276.1, ATR0733G045.1
GF00994	ATR1127G121.1, ATR0602G106.1, ATR0730G112.1, ATR0757G003.1
GF00995	ATR0100G048.1, ATR0215G019.1, ATR1132G094.1, ATR0584G147.1
GF00996	ATR0104G014.1, ATR0122G034.1, ATR0122G025.1, ATR0680G149.1
GF00997	ATR0105G004.1, ATR0121G015.1, ATR0213G010.1, ATR0665G062.1
GF00998	ATR0105G012.1, ATR0589G004.1, ATR0589G081.1, ATR0772G168.1
GF00999	ATR0739G179.1, ATR0661G579.1, ATR0730G087.1, ATR0730G207.1
GF01000	ATR0109G030.1, ATR0757G030.1, ATR1158G014.1, ATR0796G211.1
GF01001	ATR0111G021.1, ATR0724G052.1, ATR1149G020.1, ATR1136G067.1
GF01002	ATR0127G017.1, ATR0594G005.1, ATR0618G116.1, ATR0680G274.1
GF01003	ATR0118G006.1, ATR0582G362.1, ATR0582G015.1, ATR0582G281.1
GF01004	ATR0118G009.1, ATR1149G073.1, ATR1120G049.1, ATR1120G112.1
GF01005	ATR0118G011.1, ATR0665G387.1, ATR0602G023.1, ATR1159G078.1
GF01006	ATR0122G001.1, ATR0824G145.1, ATR0133G004.1, ATR0133G001.1
GF01007	ATR0122G004.1, ATR0122G007.1, ATR0122G019.1, ATR0122G005.1
GF01008	ATR0122G008.1, ATR0751G215.1, ATR0561G129.1, ATR0559G328.1
GF01009	ATR0122G028.1, ATR0564G364.1, ATR0153G027.1, ATR0153G003.1
GF01010	ATR0772G121.1, ATR0772G110.1, ATR0772G097.1, ATR0794G132.1
GF01011	ATR0127G012.1, ATR0820G060.1, ATR0796G192.1, ATR0210G016.1
GF01012	ATR0135G002.1, ATR0626G157.1, ATR0794G058.1, ATR0767G255.1
GF01013	ATR0137G001.1, ATR0648G001.1, ATR0915G001.1, ATR0727G001.1
GF01014	ATR0138G021.1, ATR0582G058.1, ATR0527G001.1, ATR1000G001.1
GF01015	ATR0147G013.1, ATR0743G138.1, ATR0772G133.1, ATR1127G033.1
GF01016	ATR0152G016.1, ATR1089G101.1, ATR0733G018.1, ATR0737G083.1
GF01017	ATR0162G001.1, ATR0492G001.1, ATR0928G001.1, ATR0829G182.1
GF01018	ATR0807G069.1, ATR1101G030.1, ATR0706G130.1, ATR0827G100.1
GF01019	ATR0165G059.1, ATR0598G101.1, ATR1134G087.1, ATR0580G391.1
GF01020	ATR0165G060.1, ATR0736G034.1, ATR0174G017.1, ATR0174G022.1
GF01021	ATR0171G023.1, ATR0495G010.1, ATR1089G130.1, ATR1089G070.1
GF01022	ATR0171G028.1, ATR0564G421.1, ATR0716G078.1, ATR0626G025.1
GF01023	ATR0171G030.1, ATR1101G003.1, ATR0776G092.1, ATR0171G046.1
GF01024	ATR0171G044.1, ATR1126G006.1, ATR0730G212.1, ATR1120G003.1
GF01025	ATR0582G185.1, ATR0706G253.1, ATR0706G155.1, ATR0706G268.1
GF01026	ATR0174G001.1, ATR0568G138.1, ATR0564G220.1, ATR0564G324.1
GF01027	ATR0177G022.1, ATR0177G035.1, ATR0620G052.1, ATR0820G086.1
GF01028	ATR0177G023.1, ATR0829G214.1, ATR0598G158.1, ATR0829G100.1
GF01029	ATR0598G293.1, ATR0925G005.1, ATR0598G280.1, ATR0662G002.1
GF01030	ATR0219G014.1, ATR0219G004.1, ATR0219G033.1, ATR0219G027.1
GF01031	ATR0178G015.1, ATR0693G260.1, ATR0582G114.1, ATR0757G140.1
GF01032	ATR0179G001.1, ATR0681G250.1, ATR0661G277.1, ATR0661G374.1
GF01033	ATR0180G010.1, ATR0759G098.1, ATR0580G290.1, ATR0180G020.1
GF01034	ATR0184G003.1, ATR0824G175.1, ATR0691G084.1, ATR0706G039.1
GF01035	ATR0188G012.1, ATR0751G162.1, ATR0691G300.1, ATR0691G088.1
GF01036	ATR0807G119.1, ATR0736G008.1, ATR0787G046.1, ATR0794G117.1
GF01037	ATR0724G101.1, ATR0733G122.1, ATR0665G573.1, ATR1120G084.1
GF01038	ATR0193G008.1, ATR0193G029.1, ATR0193G026.1, ATR0193G030.1
GF01039	ATR0197G001.1, ATR0508G001.1, ATR0620G053.1, ATR0197G007.1
GF01040	ATR0199G005.1, ATR0199G009.1, ATR0199G028.1, ATR0199G022.1
GF01041	ATR0199G008.1, ATR0199G025.1, ATR0618G397.1, ATR0199G012.1
GF01042	ATR0697G216.1, ATR0753G098.1, ATR0739G112.1, ATR0753G042.1
GF01043	ATR0208G009.1, ATR0665G415.1, ATR0796G121.1, ATR0810G160.1
GF01044	ATR0210G006.1, ATR1152G099.1, ATR0796G070.1, ATR0598G014.1
GF01045	ATR0213G008.1, ATR0213G024.1, ATR0213G015.1, ATR0594G149.1
GF01046	ATR0213G032.1, ATR0582G163.1, ATR0561G277.1, ATR0693G227.1
GF01047	ATR0215G020.1, ATR0215G032.1, ATR0749G015.1, ATR0824G058.1
GF01048	ATR0222G003.1, ATR0628G001.1, ATR0624G099.1, ATR1132G041.1
GF01049	ATR0222G007.1, ATR0329G059.1, ATR0749G110.1, ATR0568G156.1
GF01050	ATR0225G025.1, ATR0789G147.1, ATR1089G103.1, ATR1089G081.1
GF01051	ATR0225G042.1, ATR0626G356.1, ATR0626G072.1, ATR0626G109.1
GF01052	ATR0258G002.1, ATR1136G098.1, ATR0661G283.1, ATR0618G232.1
GF01053	ATR0277G001.1, ATR0800G107.1, ATR0800G008.1, ATR0800G114.1
GF01054	ATR0295G001.1, ATR0317G129.1, ATR0317G036.1, ATR0317G100.1
GF01055	ATR0820G270.1, ATR0661G085.1, ATR0820G001.1, ATR0752G164.1
GF01056	ATR0304G007.1, ATR1159G091.1, ATR0767G187.1, ATR0800G047.1
GF01057	ATR0304G034.1, ATR0605G274.1, ATR0723G067.1, ATR0304G051.1
GF01058	ATR0304G043.1, ATR0594G073.1, ATR1155G045.1, ATR0749G063.1
GF01059	ATR0307G021.1, ATR0665G461.1, ATR1159G073.1, ATR0580G008.1
GF01060	ATR0307G076.1, ATR0665G109.1, ATR0693G212.1, ATR0561G113.1
GF01061	ATR0314G014.1, ATR0752G194.1, ATR0681G146.1, ATR0693G342.1
GF01062	ATR0315G025.1, ATR0579G023.1, ATR0796G122.1, ATR0796G110.1
GF01063	ATR0315G030.1, ATR0697G247.1, ATR0598G251.1, ATR0829G148.1
GF01064	ATR0315G049.1, ATR0767G020.1, ATR1159G034.1, ATR0762G014.1
GF01065	ATR0315G142.1, ATR0315G153.1, ATR0665G469.1, ATR0804G074.1
GF01066	ATR0759G006.1, ATR0753G008.1, ATR0759G080.1, ATR0787G072.1
GF01067	ATR0315G151.1, ATR1120G122.1, ATR0626G059.1, ATR0807G057.1
GF01068	ATR0317G068.1, ATR0317G073.1, ATR1120G182.1, ATR0796G184.1
GF01069	ATR0317G097.1, ATR0804G024.1, ATR0665G051.1, ATR0626G111.1
GF01070	ATR0317G111.1, ATR1153G073.1, ATR0665G365.1, ATR0706G057.1
GF01071	ATR0320G011.1, ATR0800G136.1, ATR1152G077.1, ATR0564G049.1
GF01072	ATR0321G003.1, ATR1133G004.1, ATR0697G146.1, ATR1155G035.1
GF01073	ATR0322G012.1, ATR0322G017.1, ATR0322G023.1, ATR0322G020.1
GF01074	ATR0326G028.1, ATR0767G075.1, ATR0767G092.1, ATR0796G109.1
GF01075	ATR0326G033.1, ATR0703G001.1, ATR0693G121.1, ATR1039G001.1
GF01076	ATR0326G037.1, ATR1127G075.1, ATR0605G383.1, ATR0807G076.1
GF01077	ATR0329G062.1, ATR0822G001.1, ATR0476G001.1, ATR0697G051.1
GF01078	ATR0329G067.1, ATR1073G001.1, ATR0580G250.1, ATR1048G001.1
GF01079	ATR0332G007.1, ATR0824G270.1, ATR0725G001.1, ATR0794G129.1
GF01080	ATR0332G010.1, ATR0605G217.1, ATR0605G059.1, ATR0684G227.1
GF01081	ATR0332G117.1, ATR0598G336.1, ATR0624G031.1, ATR0684G017.1
GF01082	ATR0361G001.1, ATR0697G006.1, ATR0782G122.1, ATR1152G085.1
GF01083	ATR0374G001.1, ATR0733G213.1, ATR0661G103.1, ATR0693G425.1
GF01084	ATR0375G001.1, ATR0549G002.1, ATR0564G312.1, ATR0564G012.1
GF01085	ATR0475G001.1, ATR0888G001.1, ATR1179G001.1, ATR1190G001.1
GF01086	ATR0487G002.1, ATR0559G204.1, ATR0737G103.1, ATR0559G043.1
GF01087	ATR0498G005.1, ATR0762G021.1, ATR0680G162.1, ATR1096G122.1
GF01088	ATR0559G019.1, ATR0796G304.1, ATR0568G130.1, ATR0680G315.1
GF01089	ATR0559G104.1, ATR0559G321.1, ATR0730G110.1, ATR0594G046.1
GF01090	ATR0559G113.1, ATR0680G177.1, ATR0626G013.1, ATR1132G072.1
GF01091	ATR0559G248.1, ATR0762G023.1, ATR0691G177.1, ATR1145G070.1
GF01092	ATR0620G082.1, ATR0820G019.1, ATR0800G096.1, ATR1156G030.1
GF01093	ATR0559G256.1, ATR0602G149.1, ATR0815G024.1, ATR0753G161.1
GF01094	ATR0559G322.1, ATR0626G311.1, ATR0697G008.1, ATR1120G058.1
GF01095	ATR0561G039.1, ATR0618G069.1, ATR0745G011.1, ATR0665G213.1
GF01096	ATR0561G042.1, ATR0561G074.1, ATR0561G235.1, ATR0561G214.1
GF01097	ATR0561G051.1, ATR0800G040.1, ATR1096G026.1, ATR0804G057.1
GF01098	ATR0561G089.1, ATR0752G102.1, ATR1096G098.1, ATR0752G232.1
GF01099	ATR0697G104.1, ATR1134G095.1, ATR0789G146.1, ATR1152G097.1
GF01100	ATR0561G102.1, ATR0796G020.1, ATR0782G216.1, ATR0706G290.1
GF01101	ATR0810G105.1, ATR0579G120.1, ATR0829G137.1, ATR1127G164.1
GF01102	ATR0561G181.1, ATR1131G040.1, ATR1152G110.1, ATR0620G039.1
GF01103	ATR0561G193.1, ATR0796G076.1, ATR0605G076.1, ATR0807G002.1
GF01104	ATR0561G238.1, ATR1132G036.1, ATR1125G108.1, ATR0579G024.1
GF01105	ATR0564G007.1, ATR0564G058.1, ATR0564G195.1, ATR0736G197.1
GF01106	ATR0665G324.1, ATR0665G014.1, ATR1121G001.1, ATR0782G124.1
GF01107	ATR0564G132.1, ATR0564G313.1, ATR0733G237.1, ATR0737G092.1
GF01108	ATR0564G198.1, ATR0730G028.1, ATR1098G116.1, ATR0743G060.1
GF01109	ATR0564G247.1, ATR0626G197.1, ATR0767G223.1, ATR0602G293.1
GF01110	ATR0564G298.1, ATR0564G300.1, ATR0684G014.1, ATR0686G181.1
GF01111	ATR0564G316.1, ATR1132G093.1, ATR1132G049.1, ATR1132G115.1
GF01112	ATR0564G407.1, ATR0721G142.1, ATR0753G047.1, ATR0661G208.1
GF01113	ATR0665G177.1, ATR1098G099.1, ATR1155G014.1, ATR1127G220.1
GF01114	ATR0716G017.1, ATR0681G256.1, ATR0753G108.1, ATR0693G032.1
GF01115	ATR0749G058.1, ATR0665G060.1, ATR0665G663.1, ATR0749G066.1
GF01116	ATR0568G003.1, ATR0579G045.1, ATR0579G090.1, ATR0579G086.1
GF01117	ATR0568G071.1, ATR0751G250.1, ATR0598G154.1, ATR0598G277.1
GF01118	ATR0568G091.1, ATR0796G146.1, ATR1136G128.1, ATR1145G046.1
GF01119	ATR0568G105.1, ATR0796G145.1, ATR0568G203.1, ATR0827G060.1
GF01120	ATR0568G149.1, ATR0745G075.1, ATR0661G024.1, ATR0800G172.1
GF01121	ATR0568G170.1, ATR0796G064.1, ATR1096G141.1, ATR0665G623.1
GF01122	ATR0568G206.1, ATR0686G047.1, ATR0665G233.1, ATR0716G098.1
GF01123	ATR0579G033.1, ATR0686G015.1, ATR0782G098.1, ATR1125G017.1
GF01124	ATR0579G092.1, ATR0772G152.1, ATR0772G062.1, ATR0739G114.1
